,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,language,IsRightToLeftWord,Label,Score,HG,VG
0,0,0,0,0,1,0,id,2,0,77,469,295,810,525,469|469,295|295,810|810,525|525,0,230,230,0,False,False,7,False,1,0,0,0,False,English,False,O,100.0,0,0
1,1,1,1,1,1,1,ID.,3,3,999,914,299,1110,406,914|914|914,299|299|299,1110|1110|1110,406|406|406,104,107,107,0,False,True,9,False,1,0,0,1,False,English,False,B-Invoice_VendorName,100.0,3,3
2,2,2,2,2,1,2,ASSOCIATES,10,7,9999999999,1142,294,2123,404,1142|1142|1142|1142|1142|1142|1142|1142|1142|1142,294|294|294|294|294|294|294|294|294|294,2123|2123|2123|2123|2123|2123|2123|2123|2123|2123,404|404|404|404|404|404|404|404|404|404,32,110,110,0,True,False,9,False,1,0,0,1,False,English,False,I-Invoice_VendorName,100.0,3,3
3,3,3,3,3,2,0,BRINGING,8,0,99999999,918,478,1190,508,918|918|918|918|918|918|918|918,478|478|478|478|478|478|478|478,1190|1190|1190|1190|1190|1190|1190|1190,508|508|508|508|508|508|508|508,0,30,30,0,True,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
4,4,4,4,4,2,1,THE,3,9,999,1228,477,1328,506,1228|1228|1228,477|477|477,1328|1328|1328,506|506|506,38,29,29,0,True,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
5,5,5,5,5,2,2,WORLD'S,7,13,9999999,1362,475,1618,506,1362|1362|1362|1362|1362|1362|1362,475|475|475|475|475|475|475,1618|1618|1618|1618|1618|1618|1618,506|506|506|506|506|506|506,34,31,31,0,False,True,9,False,1,0,0,1,False,English,False,O,100.0,0,0
6,6,6,6,6,2,3,BRANDS,6,21,999999,1655,474,1870,505,1655|1655|1655|1655|1655|1655,474|474|474|474|474|474,1870|1870|1870|1870|1870|1870,505|505|505|505|505|505,37,31,31,0,True,False,9,False,1,0,0,2,False,English,False,O,100.0,0,0
7,7,7,7,7,2,4,TO,2,28,99,1907,474,1979,504,1907|1907,474|474,1979|1979,504|504,37,30,30,0,True,False,9,False,1,0,0,3,False,English,False,O,100.0,0,0
8,8,8,8,8,2,5,LIFE,4,31,9999,2017,472,2125,504,2017|2017|2017|2017,472|472|472|472,2125|2125|2125|2125,504|504|504|504,38,32,32,0,True,False,9,False,1,0,0,4,False,English,False,O,100.0,0,0
9,9,9,9,9,3,0,a,1,0,9,1275,573,1307,605,1275,573,1307,605,0,32,32,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
10,10,10,10,10,3,1,Philadelphia,12,2,999999999999,1326,556,1681,617,1326|1326|1326|1326|1326|1326|1326|1326|1326|1326|1326|1326,556|556|556|556|556|556|556|556|556|556|556|556,1681|1681|1681|1681|1681|1681|1681|1681|1681|1681|1681|1681,617|617|617|617|617|617|617|617|617|617|617|617,19,61,61,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
11,11,11,11,11,3,2,Sign,4,15,9999,1701,557,1824,616,1701|1701|1701|1701,557|557|557|557,1824|1824|1824|1824,616|616|616|616,20,59,59,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
12,12,12,12,12,3,3,Company,7,20,9999999,1846,557,2123,615,1846|1846|1846|1846|1846|1846|1846,557|557|557|557|557|557|557,2123|2123|2123|2123|2123|2123|2123,615|615|615|615|615|615|615,22,58,58,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
13,13,13,13,13,4,0,May,3,0,999,301,614,375,653,301|301|301,614|614|614,375|375|375,653|653|653,0,39,39,0,False,False,9,False,1,0,0,0,False,English,False,B-Invoice_InvoiceDate,100.0,14,14
14,14,14,14,14,4,1,"23,",3,4,999,385,615,438,651,385|385|385,615|615|615,438|438|438,651|651|651,10,36,36,0,False,True,9,False,1,0,2,0,True,English,False,I-Invoice_InvoiceDate,100.0,14,14
15,15,15,15,15,4,2,2019,4,8,9999,451,616,538,645,451|451|451|451,616|616|616|616,538|538|538|538,645|645|645|645,13,29,29,0,False,False,9,False,1,0,4,0,True,English,False,I-Invoice_InvoiceDate,100.0,14,14
16,16,16,16,16,5,0,Aarons,6,0,999999,300,706,425,736,300|300|300|300|300|300,706|706|706|706|706|706,425|425|425|425|425|425,736|736|736|736|736|736,0,30,30,0,False,False,9,False,1,0,0,0,False,English,False,B-Invoice_CustomerAddressRecipient ,100.0,15,15
17,17,17,17,17,5,1,C0028,5,7,99999,438,706,553,736,438|438|438|438|438,706|706|706|706|706,553|553|553|553|553,736|736|736|736|736,13,30,30,0,False,False,9,False,1,0,4,0,False,English,False,I-Invoice_CustomerAddressRecipient,100.0,15,15
18,18,18,18,18,6,0,1306,4,0,9999,303,754,388,785,303|303|303|303,754|754|754|754,388|388|388|388,785|785|785|785,0,31,31,0,False,False,9,False,1,0,4,0,True,English,False,B-Invoice_CustomerAddress,100.0,16,16
19,19,19,19,19,6,1,N,1,5,9,402,754,427,784,402,754,427,784,14,30,30,0,True,False,9,False,1,0,0,0,False,English,False,I-Invoice_CustomerAddress,100.0,16,16
20,20,20,20,20,6,2,John,4,7,9999,440,754,525,785,440|440|440|440,754|754|754|754,525|525|525|525,785|785|785|785,13,31,31,0,False,False,9,False,1,0,0,0,False,English,False,I-Invoice_CustomerAddress,100.0,16,16
21,21,21,21,21,6,3,Young,5,12,99999,536,753,650,792,536|536|536|536|536,753|753|753|753|753,650|650|650|650|650,792|792|792|792|792,11,39,39,0,False,False,9,False,1,0,0,0,False,English,False,I-Invoice_CustomerAddress,100.0,16,16
22,22,22,22,22,6,4,Parkway,7,18,9999999,664,753,812,792,664|664|664|664|664|664|664,753|753|753|753|753|753|753,812|812|812|812|812|812|812,792|792|792|792|792|792|792,14,39,39,0,False,False,9,False,1,0,0,0,False,English,False,I-Invoice_CustomerAddress,100.0,16,16
23,23,23,23,23,7,0,"Kissimmee,",10,0,9999999999,302,803,501,838,302|302|302|302|302|302|302|302|302|302,803|803|803|803|803|803|803|803|803|803,501|501|501|501|501|501|501|501|501|501,838|838|838|838|838|838|838|838|838|838,0,35,35,0,False,True,9,False,1,0,0,0,False,English,False,I-Invoice_CustomerAddress,100.0,0,0
24,24,24,24,24,7,1,FL,2,11,99,516,803,561,833,516|516,803|803,561|561,833|833,15,30,30,0,True,False,9,False,1,0,0,0,False,English,False,I-Invoice_CustomerAddress,100.0,0,0
25,25,25,25,25,7,2,34741,5,14,99999,573,803,676,833,573|573|573|573|573,803|803|803|803|803,676|676|676|676|676,833|833|833|833|833,12,30,30,0,False,False,9,False,1,0,5,0,True,English,False,I-Invoice_CustomerAddress,100.0,0,0
26,26,26,26,26,7,3,Revision,8,20,99999999,1197,798,1354,831,1197|1197|1197|1197|1197|1197|1197|1197,798|798|798|798|798|798|798|798,1354|1354|1354|1354|1354|1354|1354|1354,831|831|831|831|831|831|831|831,521,33,33,0,False,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
27,27,27,27,27,7,4,1,1,29,9,1370,798,1386,830,1370,798,1386,830,16,32,32,0,False,False,9,False,1,0,1,1,True,English,False,O,100.0,0,0
28,28,28,28,28,8,0,Description,11,0,99999999999,302,881,538,922,302|302|302|302|302|302|302|302|302|302|302,881|881|881|881|881|881|881|881|881|881|881,538|538|538|538|538|538|538|538|538|538|538,922|922|922|922|922|922|922|922|922|922|922,0,41,41,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
29,29,29,29,29,8,1,Price,5,12,99999,2139,874,2242,907,2139|2139|2139|2139|2139,874|874|874|874|874,2242|2242|2242|2242|2242,907|907|907|907|907,1601,33,33,0,False,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
30,30,30,30,30,9,0,Site,4,0,9999,301,942,360,970,301|301|301|301,942|942|942|942,360|360|360|360,970|970|970|970,0,28,28,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
31,31,31,31,31,9,1,Survey,6,5,999999,371,942,478,976,371|371|371|371|371|371,942|942|942|942|942|942,478|478|478|478|478|478,976|976|976|976|976|976,11,34,34,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
