,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,language,IsRightToLeftWord,Label,Score,HG,VG
0,0,0,0,0,1,0,<<<<,4,0,9999,103,64,189,85,103|103|103|103,64|64|64|64,189|189|189|189,85|85|85|85,0,21,21,0,False,True,9,False,1,0,0,0,False,English,False,O,100.0,0,0
1,1,1,1,1,1,1,Model,5,5,99999,201,58,308,89,201|201|201|201|201,58|58|58|58|58,308|308|308|308|308,89|89|89|89|89,12,31,31,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
2,2,2,2,2,1,2,:,1,10,9,201,58,308,89,201,58,308,89,-107,31,31,0,False,True,9,True,1,0,0,1,False,English,False,O,100.0,0,0
3,3,3,3,3,1,3,Troy-Bilt,9,12,999999999,312,58,452,95,312|312|312|312|312|312|312|312|312,58|58|58|58|58|58|58|58|58,452|452|452|452|452|452|452|452|452,95|95|95|95|95|95|95|95|95,4,37,37,0,False,True,9,False,1,0,0,2,False,English,False,O,100.0,0,0
4,4,4,4,4,1,4,Inventory,9,22,999999999,669,58,820,95,669|669|669|669|669|669|669|669|669,58|58|58|58|58|58|58|58|58,820|820|820|820|820|820|820|820|820,95|95|95|95|95|95|95|95|95,217,37,37,0,False,False,9,False,1,0,0,3,False,English,False,O,100.0,0,0
5,5,5,5,5,1,5,13AL78BT066,11,32,99999999999,857,57,1099,89,857|857|857|857|857|857|857|857|857|857|857,57|57|57|57|57|57|57|57|57|57|57,1099|1099|1099|1099|1099|1099|1099|1099|1099|1099|1099,89|89|89|89|89|89|89|89|89|89|89,37,32,32,0,False,False,9,False,1,0,7,4,False,English,False,O,100.0,0,0
6,6,6,6,6,1,6,Serial,6,44,999999,1266,58,1359,89,1266|1266|1266|1266|1266|1266,58|58|58|58|58|58,1359|1359|1359|1359|1359|1359,89|89|89|89|89|89,167,31,31,0,False,False,9,False,1,0,0,5,False,English,False,O,100.0,0,0
7,7,7,7,7,1,7,#,1,51,9,1368,58,1399,89,1368,58,1399,89,9,31,31,0,False,True,9,False,1,0,0,5,False,English,False,O,100.0,0,0
8,8,8,8,8,1,8,:,1,52,9,1368,58,1399,89,1368,58,1399,89,-31,31,31,0,False,True,9,True,1,0,0,6,False,English,False,O,100.0,0,0
9,9,9,9,9,1,9,1C298B10387,11,54,99999999999,1395,58,1638,89,1395|1395|1395|1395|1395|1395|1395|1395|1395|1395|1395,58|58|58|58|58|58|58|58|58|58|58,1638|1638|1638|1638|1638|1638|1638|1638|1638|1638|1638,89|89|89|89|89|89|89|89|89|89|89,-4,31,31,0,False,False,9,False,1,0,9,7,False,English,False,O,100.0,0,0
