,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,language,IsRightToLeftWord,Label,Score,HG,VG
0,0,0,0,0,1,0,Printed,7,0,9999999,1342,155,1446,182,1342|1342|1342|1342|1342|1342|1342,155|155|155|155|155|155|155,1446|1446|1446|1446|1446|1446|1446,182|182|182|182|182|182|182,0,27,27,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
1,1,1,1,1,1,1,On,2,8,99,1457,156,1514,183,1457|1457,156|156,1514|1514,183|183,11,27,27,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
2,2,2,2,2,1,2,11/19/2019,10,11,9999999999,1530,156,1694,183,1530|1530|1530|1530|1530|1530|1530|1530|1530|1530,156|156|156|156|156|156|156|156|156|156,1694|1694|1694|1694|1694|1694|1694|1694|1694|1694,183|183|183|183|183|183|183|183|183|183,16,27,27,0,False,True,9,False,1,0,8,1,False,English,False,O,100.0,0,0
3,3,3,3,3,1,3,4,1,22,9,1705,155,1817,183,1705,155,1817,183,11,28,28,0,False,False,9,False,1,0,1,1,True,English,False,O,100.0,0,0
4,4,4,4,4,1,4,:,1,23,9,1705,155,1817,183,1705,155,1817,183,-112,28,28,0,False,True,9,True,1,0,0,2,False,English,False,O,100.0,0,0
5,5,5,5,5,1,5,14,2,24,99,1705,155,1817,183,1705|1705,155|155,1817|1817,183|183,-112,28,28,0,False,False,9,False,1,0,2,3,True,English,False,O,100.0,0,0
6,6,6,6,6,1,6,:,1,26,9,1705,155,1817,183,1705,155,1817,183,-112,28,28,0,False,True,9,True,1,0,0,4,False,English,False,O,100.0,0,0
7,7,7,7,7,1,7,43,2,27,99,1705,155,1817,183,1705|1705,155|155,1817|1817,183|183,-112,28,28,0,False,False,9,False,1,0,2,5,True,English,False,O,100.0,0,0
8,8,8,8,8,1,8,PM,2,30,99,1826,155,1875,183,1826|1826,155|155,1875|1875,183|183,9,28,28,0,True,False,9,False,1,0,0,5,False,English,False,O,100.0,0,0
9,9,9,9,9,1,9,Serv.,5,33,99999,1904,155,1981,184,1904|1904|1904|1904|1904,155|155|155|155|155,1981|1981|1981|1981|1981,184|184|184|184|184,29,29,29,0,False,True,9,False,1,0,0,6,False,English,False,O,100.0,0,0
10,10,10,10,10,1,10,Writer,6,39,999999,1991,155,2129,183,1991|1991|1991|1991|1991|1991,155|155|155|155|155|155,2129|2129|2129|2129|2129|2129,183|183|183|183|183|183,10,28,28,0,False,False,9,False,1,0,0,6,False,English,False,O,100.0,0,0
11,11,11,11,11,1,11,:,1,45,9,1991,155,2129,183,1991,155,2129,183,-138,28,28,0,False,True,9,True,1,0,0,7,False,English,False,O,100.0,0,0
12,12,12,12,12,1,12,LE,2,46,99,1991,155,2129,183,1991|1991,155|155,2129|2129,183|183,-138,28,28,0,True,False,9,False,1,0,0,8,False,English,False,O,100.0,0,0
13,13,13,13,13,1,13,-,1,49,9,2139,169,2152,176,2139,169,2152,176,10,7,7,0,False,True,9,True,1,0,0,8,False,English,False,O,100.0,0,0
14,14,14,14,14,1,14,Contact,7,51,9999999,2158,156,2276,183,2158|2158|2158|2158|2158|2158|2158,156|156|156|156|156|156|156,2276|2276|2276|2276|2276|2276|2276,183|183|183|183|183|183|183,6,27,27,0,False,False,9,False,1,0,0,8,False,English,False,O,100.0,0,0
15,15,15,15,15,1,15,ID,2,59,99,2286,156,2317,183,2286|2286,156|156,2317|2317,183|183,10,27,27,0,True,False,9,False,1,0,0,8,False,English,False,O,100.0,0,0
16,16,16,16,16,1,16,:,1,62,6,2328,155,2427,188,2328,155,2427,188,11,33,33,0,False,True,6,True,1,0,0,9,False,English,False,O,100.0,0,0
17,17,17,17,17,1,17,2699),5,63,66666,2328,155,2427,188,2328|2328|2328|2328|2328,155|155|155|155|155,2427|2427|2427|2427|2427,188|188|188|188|188,-99,33,33,0,False,True,6,False,1,0,4,10,False,English,False,O,100.0,0,0
18,18,18,18,18,2,0,SMALL,5,0,99999,275,246,389,274,275|275|275|275|275,246|246|246|246|246,389|389|389|389|389,274|274|274|274|274,0,28,28,0,True,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
19,19,19,19,19,2,1,ENGINE,6,6,999999,399,246,523,274,399|399|399|399|399|399,246|246|246|246|246|246,523|523|523|523|523|523,274|274|274|274|274|274,10,28,28,0,True,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
20,20,20,20,20,2,2,Status,6,13,999999,1332,234,1450,266,1332|1332|1332|1332|1332|1332,234|234|234|234|234|234,1450|1450|1450|1450|1450|1450,266|266|266|266|266|266,809,32,32,0,False,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
