,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,language,IsRightToLeftWord,Label,Score,HG,VG
0,0,0,0,0,1,0,Accent,6,0,999999,121,115,307,160,121|121|121|121|121|121,115|115|115|115|115|115,307|307|307|307|307|307,160|160|160|160|160|160,0,45,45,0,False,False,9,False,1,0,0,0,False,English,False,B-Invoice_VendorAddressRecipient,100.0,2,2
1,1,1,1,1,1,1,Appliance,9,7,999999999,319,117,584,172,319|319|319|319|319|319|319|319|319,117|117|117|117|117|117|117|117|117,584|584|584|584|584|584|584|584|584,172|172|172|172|172|172|172|172|172,12,55,55,0,False,False,9,False,1,0,0,0,False,English,False,I-Invoice_VendorAddressRecipient,100.0,2,2
2,2,2,2,2,1,2,Parts,5,17,99999,603,120,741,167,603|603|603|603|603,120|120|120|120|120,741|741|741|741|741,167|167|167|167|167,19,47,47,0,False,False,9,False,1,0,0,0,False,English,False,I-Invoice_VendorAddressRecipient,100.0,2,2
3,3,3,3,3,1,3,&,1,23,9,761,124,798,167,761,124,798,167,20,43,43,0,False,True,9,True,1,0,0,0,False,English,False,I-Invoice_VendorAddressRecipient,100.0,2,2
4,4,4,4,4,1,4,Service,7,25,9999999,818,124,1015,170,818|818|818|818|818|818|818,124|124|124|124|124|124|124,1015|1015|1015|1015|1015|1015|1015,170|170|170|170|170|170|170,20,46,46,0,False,False,9,False,1,0,0,0,False,English,False,I-Invoice_VendorAddressRecipient,100.0,2,2
5,5,5,5,5,1,5,"Approver,",9,33,999999999,1475,135,1705,187,1475|1475|1475|1475|1475|1475|1475|1475|1475,135|135|135|135|135|135|135|135|135,1705|1705|1705|1705|1705|1705|1705|1705|1705,187|187|187|187|187|187|187|187|187,460,52,52,0,False,True,9,False,1,0,0,1,False,English,False,O,100.0,0,0
6,6,6,6,6,1,6,Please,6,43,999999,1724,134,1867,176,1724|1724|1724|1724|1724|1724,134|134|134|134|134|134,1867|1867|1867|1867|1867|1867,176|176|176|176|176|176,19,42,42,0,False,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
7,7,7,7,7,1,7,read,4,50,9999,1882,133,1978,176,1882|1882|1882|1882,133|133|133|133,1978|1978|1978|1978,176|176|176|176,15,43,43,0,False,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
8,8,8,8,8,1,8,and,3,55,999,1995,133,2075,176,1995|1995|1995,133|133|133,2075|2075|2075,176|176|176,17,43,43,0,False,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
9,9,9,9,9,1,9,comment,7,59,9999999,2092,139,2302,176,2092|2092|2092|2092|2092|2092|2092,139|139|139|139|139|139|139,2302|2302|2302|2302|2302|2302|2302,176|176|176|176|176|176|176,17,37,37,0,False,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
10,10,10,10,10,2,0,8120,4,0,9999,122,181,245,225,122|122|122|122,181|181|181|181,245|245|245|245,225|225|225|225,0,44,44,0,False,False,9,False,1,0,4,0,True,English,False,B-Invoice_VendorAddress,100.0,8,8
