,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,language,IsRightToLeftWord,Label,Score,HG,VG
0,0,0,0,0,1,0,Page,4,0,9999,1755,782,1820,808,1755|1755|1755|1755,782|782|782|782,1820|1820|1820|1820,808|808|808|808,0,26,26,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
1,1,1,1,1,1,1,:,1,4,9,1755,782,1820,808,1755,782,1820,808,-65,26,26,0,False,True,9,True,1,0,0,1,False,English,False,O,100.0,0,0
2,2,2,2,2,1,2,4,1,6,9,1930,782,1948,805,1930,782,1948,805,110,23,23,0,False,False,9,False,1,0,1,2,True,English,False,O,100.0,0,0
3,3,3,3,3,1,3,of,2,8,99,1955,784,1981,804,1955|1955,784|784,1981|1981,804|804,7,20,20,0,False,False,9,False,1,0,0,2,False,English,False,O,100.0,0,0
4,4,4,4,4,1,4,5,1,11,9,1987,781,2004,803,1987,781,2004,803,6,22,22,0,False,False,9,False,1,0,1,2,True,English,False,O,100.0,0,0
5,5,5,5,5,2,0,PENSKE,6,0,999999,137,816,346,850,137|137|137|137|137|137,816|816|816|816|816|816,346|346|346|346|346|346,850|850|850|850|850|850,0,34,34,0,True,False,9,False,1,0,0,0,False,English,False,B-Invoice_VendorName,100.0,7,7
6,6,6,6,6,2,1,Invoice,7,7,9999999,1753,816,1842,837,1753|1753|1753|1753|1753|1753|1753,816|816|816|816|816|816|816,1842|1842|1842|1842|1842|1842|1842,837|837|837|837|837|837|837,1407,21,21,0,False,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
7,7,7,7,7,2,2,:,1,14,9,1753,816,1842,837,1753,816,1842,837,-89,21,21,0,False,True,9,True,1,0,0,2,False,English,False,O,100.0,0,0
8,8,8,8,8,2,3,0017158218,10,16,9999999999,1932,817,2093,840,1932|1932|1932|1932|1932|1932|1932|1932|1932|1932,817|817|817|817|817|817|817|817|817|817,2093|2093|2093|2093|2093|2093|2093|2093|2093|2093,840|840|840|840|840|840|840|840|840|840,90,23,23,0,False,False,9,False,1,0,10,3,True,English,False,B-Invoice_InvoiceId,100.0,10,10
9,9,9,9,9,3,0,Date,4,0,9999,1755,853,1814,874,1755|1755|1755|1755,853|853|853|853,1814|1814|1814|1814,874|874|874|874,0,21,21,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
10,10,10,10,10,3,1,:,1,4,9,1755,853,1814,874,1755,853,1814,874,-59,21,21,0,False,True,9,True,1,0,0,1,False,English,False,O,100.0,0,0
11,11,11,11,11,3,2,December,8,6,99999999,1932,852,2071,875,1932|1932|1932|1932|1932|1932|1932|1932,852|852|852|852|852|852|852|852,2071|2071|2071|2071|2071|2071|2071|2071,875|875|875|875|875|875|875|875,118,23,23,0,False,False,9,False,1,0,0,2,False,English,False,B-Invoice_InvoiceDate,100.0,13,13
12,12,12,12,12,3,3,"3,",2,15,99,2079,852,2102,878,2079|2079,852|852,2102|2102,878|878,8,26,26,0,False,True,9,False,1,0,1,2,True,English,False,I-Invoice_InvoiceDate,100.0,13,13
13,13,13,13,13,3,4,2019,4,18,9999,2111,852,2174,874,2111|2111|2111|2111,852|852|852|852,2174|2174|2174|2174,874|874|874|874,9,22,22,0,False,False,9,False,1,0,4,2,True,English,False,I-Invoice_InvoiceDate,100.0,13,13
14,14,14,14,14,4,0,Customer,8,0,99999999,1755,886,1873,907,1755|1755|1755|1755|1755|1755|1755|1755,886|886|886|886|886|886|886|886,1873|1873|1873|1873|1873|1873|1873|1873,907|907|907|907|907|907|907|907,0,21,21,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
15,15,15,15,15,4,1,:,1,8,9,1755,886,1873,907,1755,886,1873,907,-118,21,21,0,False,True,9,True,1,0,0,1,False,English,False,O,100.0,0,0
16,16,16,16,16,4,2,66806300-7510,13,10,9999999999999,1932,887,2134,910,1932|1932|1932|1932|1932|1932|1932|1932|1932|1932|1932|1932|1932,887|887|887|887|887|887|887|887|887|887|887|887|887,2134|2134|2134|2134|2134|2134|2134|2134|2134|2134|2134|2134|2134,910|910|910|910|910|910|910|910|910|910|910|910|910,59,23,23,0,False,True,9,False,1,0,12,2,False,English,False,O,100.0,0,0
17,17,17,17,17,5,0,Questions?,10,0,9999999999,1755,956,1886,978,1755|1755|1755|1755|1755|1755|1755|1755|1755|1755,956|956|956|956|956|956|956|956|956|956,1886|1886|1886|1886|1886|1886|1886|1886|1886|1886,978|978|978|978|978|978|978|978|978|978,0,22,22,0,False,True,9,False,1,0,0,0,False,English,False,O,100.0,0,0
18,18,18,18,18,5,1,CHARLOTTE,9,11,999999999,1931,955,2109,979,1931|1931|1931|1931|1931|1931|1931|1931|1931,955|955|955|955|955|955|955|955|955,2109|2109|2109|2109|2109|2109|2109|2109|2109,979|979|979|979|979|979|979|979|979,45,24,24,0,True,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
19,19,19,19,19,5,2,NORTH,5,21,99999,2118,956,2219,980,2118|2118|2118|2118|2118,956|956|956|956|956,2219|2219|2219|2219|2219,980|980|980|980|980,9,24,24,0,True,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
20,20,20,20,20,6,0,Contact,7,0,9999999,1756,991,1850,1011,1756|1756|1756|1756|1756|1756|1756,991|991|991|991|991|991|991,1850|1850|1850|1850|1850|1850|1850,1011|1011|1011|1011|1011|1011|1011,0,20,20,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
21,21,21,21,21,6,1,:,1,7,9,1756,991,1850,1011,1756,991,1850,1011,-94,20,20,0,False,True,9,True,1,0,0,1,False,English,False,O,100.0,0,0
22,22,22,22,22,6,2,(704),5,9,99999,1931,991,1999,1020,1931|1931|1931|1931|1931,991|991|991|991|991,1999|1999|1999|1999|1999,1020|1020|1020|1020|1020,81,29,29,0,False,True,9,False,1,0,3,2,False,English,False,O,100.0,0,0
23,23,23,23,23,6,3,598-7977,8,15,99999999,2008,991,2129,1015,2008|2008|2008|2008|2008|2008|2008|2008,991|991|991|991|991|991|991|991,2129|2129|2129|2129|2129|2129|2129|2129,1015|1015|1015|1015|1015|1015|1015|1015,9,24,24,0,False,True,9,False,1,0,7,2,False,English,False,O,100.0,0,0
24,24,24,24,24,7,0,LIGHTING,8,0,99999999,430,1077,567,1100,430|430|430|430|430|430|430|430,1077|1077|1077|1077|1077|1077|1077|1077,567|567|567|567|567|567|567|567,1100|1100|1100|1100|1100|1100|1100|1100,0,23,23,0,True,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
25,25,25,25,25,7,1,SYSTEM,6,9,999999,577,1076,695,1100,577|577|577|577|577|577,1076|1076|1076|1076|1076|1076,695|695|695|695|695|695,1100|1100|1100|1100|1100|1100,10,24,24,0,True,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
26,26,26,26,26,7,2,Labor,5,16,99999,1156,1077,1230,1100,1156|1156|1156|1156|1156,1077|1077|1077|1077|1077,1230|1230|1230|1230|1230,1100|1100|1100|1100|1100,461,23,23,0,False,False,9,False,1,0,0,1,False,English,False,O,100.0,0,0
27,27,27,27,27,7,3,0.20,4,22,9999,1936,1077,1992,1100,1936|1936|1936|1936,1077|1077|1077|1077,1992|1992|1992|1992,1100|1100|1100|1100,706,23,23,0,False,True,9,False,1,0,3,2,True,English,False,O,100.0,0,0
28,28,28,28,28,7,4,$125.00,7,27,9999999,2113,1076,2218,1102,2113|2113|2113|2113|2113|2113|2113,1076|1076|1076|1076|1076|1076|1076,2218|2218|2218|2218|2218|2218|2218,1102|1102|1102|1102|1102|1102|1102,121,26,26,0,False,True,9,False,1,0,5,3,False,English,False,O,100.0,0,0
29,29,29,29,29,7,5,$25.00,6,35,999999,2402,1076,2491,1103,2402|2402|2402|2402|2402|2402,1076|1076|1076|1076|1076|1076,2491|2491|2491|2491|2491|2491,1103|1103|1103|1103|1103|1103,184,27,27,0,False,True,9,False,1,0,4,4,False,English,False,O,100.0,0,0
30,30,30,30,30,8,0,Complaint,9,0,999999999,430,1112,568,1141,430|430|430|430|430|430|430|430|430,1112|1112|1112|1112|1112|1112|1112|1112|1112,568|568|568|568|568|568|568|568|568,1141|1141|1141|1141|1141|1141|1141|1141|1141,0,29,29,0,False,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
31,31,31,31,31,8,1,:,1,9,9,430,1112,568,1141,430,1112,568,1141,-138,29,29,0,False,True,9,True,1,0,0,1,False,English,False,O,100.0,0,0
32,32,32,32,32,8,2,SPARE,5,11,99999,609,1113,701,1135,609|609|609|609|609,1113|1113|1113|1113|1113,701|701|701|701|701,1135|1135|1135|1135|1135,41,22,22,0,True,False,9,False,1,0,0,2,False,English,False,O,100.0,0,0
33,33,33,33,33,8,3,FUSE,4,17,9999,712,1112,787,1135,712|712|712|712,1112|1112|1112|1112,787|787|787|787,1135|1135|1135|1135,11,23,23,0,True,False,9,False,1,0,0,2,False,English,False,O,100.0,0,0
34,34,34,34,34,8,4,KIT,3,22,999,796,1112,841,1135,796|796|796,1112|1112|1112,841|841|841,1135|1135|1135,9,23,23,0,True,False,9,False,1,0,0,2,False,English,False,O,100.0,0,0
35,35,35,35,35,8,5,MISSING,7,26,9999999,847,1112,971,1135,847|847|847|847|847|847|847,1112|1112|1112|1112|1112|1112|1112,971|971|971|971|971|971|971,1135|1135|1135|1135|1135|1135|1135,6,23,23,0,True,False,9,False,1,0,0,2,False,English,False,O,100.0,0,0
36,36,36,36,36,8,6,/,1,34,9,979,1112,990,1134,979,1112,990,1134,8,22,22,0,False,True,9,True,1,0,0,2,False,English,False,O,100.0,0,0
37,37,37,37,37,8,7,MAKE,4,36,9999,996,1112,1077,1135,996|996|996|996,1112|1112|1112|1112,1077|1077|1077|1077,1135|1135|1135|1135,6,23,23,0,True,False,9,False,1,0,0,2,False,English,False,O,100.0,0,0
38,38,38,38,38,8,8,EMERGENCY,9,41,999999999,1155,1114,1340,1138,1155|1155|1155|1155|1155|1155|1155|1155|1155,1114|1114|1114|1114|1114|1114|1114|1114|1114,1340|1340|1340|1340|1340|1340|1340|1340|1340,1138|1138|1138|1138|1138|1138|1138|1138|1138,78,24,24,0,True,False,9,False,1,0,0,3,False,English,False,O,100.0,0,0
39,39,39,39,39,8,9,MINI,4,51,9999,1347,1114,1407,1137,1347|1347|1347|1347,1114|1114|1114|1114,1407|1407|1407|1407,1137|1137|1137|1137,7,23,23,0,True,False,9,False,1,0,0,3,False,English,False,O,100.0,0,0
40,40,40,40,40,8,10,FUSE,4,56,9999,1415,1115,1490,1138,1415|1415|1415|1415,1115|1115|1115|1115,1490|1490|1490|1490,1138|1138|1138|1138,8,23,23,0,True,False,9,False,1,0,0,3,False,English,False,O,100.0,0,0
41,41,41,41,41,8,11,KIT,3,61,999,1497,1115,1543,1138,1497|1497|1497,1115|1115|1115,1543|1543|1543,1138|1138|1138,7,23,23,0,True,False,9,False,1,0,0,3,False,English,False,O,100.0,0,0
42,42,42,42,42,8,12,81401,5,65,99999,1719,1115,1795,1138,1719|1719|1719|1719|1719,1115|1115|1115|1115|1115,1795|1795|1795|1795|1795,1138|1138|1138|1138|1138,176,23,23,0,False,False,9,False,1,0,5,4,True,English,False,O,100.0,0,0
43,43,43,43,43,8,13,1.00,4,71,9999,1938,1115,1992,1138,1938|1938|1938|1938,1115|1115|1115|1115,1992|1992|1992|1992,1138|1138|1138|1138,143,23,23,0,False,True,9,False,1,0,3,5,True,English,False,O,100.0,0,0
44,44,44,44,44,8,14,$6.65,5,76,99999,2145,1114,2217,1141,2145|2145|2145|2145|2145,1114|1114|1114|1114|1114,2217|2217|2217|2217|2217,1141|1141|1141|1141|1141,153,27,27,0,False,True,9,False,1,0,3,6,False,English,False,O,100.0,0,0
45,45,45,45,45,8,15,$6.65,5,82,99999,2419,1113,2491,1141,2419|2419|2419|2419|2419,1113|1113|1113|1113|1113,2491|2491|2491|2491|2491,1141|1141|1141|1141|1141,202,28,28,0,False,True,9,False,1,0,3,7,False,English,False,O,100.0,0,0
46,46,46,46,46,9,0,SURE,4,0,9999,609,1146,687,1170,609|609|609|609,1146|1146|1146|1146,687|687|687|687,1170|1170|1170|1170,0,24,24,0,True,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
47,47,47,47,47,9,1,YOU,3,5,999,692,1147,749,1170,692|692|692,1147|1147|1147,749|749|749,1170|1170|1170,5,23,23,0,True,False,9,False,1,0,0,0,False,English,False,O,100.0,0,0
