LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
1,0,Kumi,4,0,9999,631,87,712,122,631|631|631|631,87|87|87|87,712|712|712|712,122|122|122|122,0,35,35,0,False,False,9,False,1,0,0,0,False,B-PL_VendorAddressRecipient
1,1,Canada,6,5,999999,721,89,843,125,721|721|721|721|721|721,89|89|89|89|89|89,843|843|843|843|843|843,125|125|125|125|125|125,9,36,36,0,False,False,9,False,1,0,0,0,False,I-PL_VendorAddressRecipient
1,2,Corporation,11,12,99999999999,852,92,1032,134,852|852|852|852|852|852|852|852|852|852|852,92|92|92|92|92|92|92|92|92|92|92,1032|1032|1032|1032|1032|1032|1032|1032|1032|1032|1032,134|134|134|134|134|134|134|134|134|134|134,9,42,42,0,False,False,9,False,1,0,0,0,False,I-PL_VendorAddressRecipient
2,0,55,2,0,99,632,135,672,169,632|632,135|135,672|672,169|169,0,34,34,0,False,False,9,False,1,0,2,0,True,B-PL_VendorAddress
2,1,Reagens,7,3,9999999,682,136,820,178,682|682|682|682|682|682|682,136|136|136|136|136|136|136,820|820|820|820|820|820|820,178|178|178|178|178|178|178,10,42,42,0,False,False,9,False,1,0,0,0,False,I-PL_VendorAddress
2,2,Industrial,10,11,9999999999,830,139,970,175,830|830|830|830|830|830|830|830|830|830,139|139|139|139|139|139|139|139|139|139,970|970|970|970|970|970|970|970|970|970,175|175|175|175|175|175|175|175|175|175,10,36,36,0,False,False,9,False,1,0,0,0,False,I-PL_VendorAddress
2,3,Pkwy,4,22,9999,979,143,1062,185,979|979|979|979,143|143|143|143,1062|1062|1062|1062,185|185|185|185,9,42,42,0,False,False,9,False,1,0,0,0,False,I-PL_VendorAddress
2,4,RR1,3,27,999,1071,144,1135,179,1071|1071|1071,144|144|144,1135|1135|1135,179|179|179,9,35,35,0,False,False,9,False,1,0,1,0,False,I-PL_VendorAddress
3,0,KCC,3,0,999,436,201,565,258,436|436|436,201|201|201,565|565|565,258|258|258,0,57,57,0,True,False,9,False,1,0,0,0,False,O
3,1,Bradford,8,4,99999999,634,186,768,221,634|634|634|634|634|634|634|634,186|186|186|186|186|186|186|186,768|768|768|768|768|768|768|768,221|221|221|221|221|221|221|221,69,35,35,0,False,False,9,False,1,0,0,1,False,I-PL_VendorAddress
3,2,ON,2,13,99,777,189,829,222,777|777,189|189,829|829,222|222,9,33,33,0,True,False,9,False,1,0,0,1,False,I-PL_VendorAddress
3,3,L3Z,3,16,999,838,190,899,223,838|838|838,190|190|190,899|899|899,223|223|223,9,33,33,0,False,False,9,False,1,0,1,1,False,I-PL_VendorAddress
3,4,2A4,3,20,999,907,193,969,225,907|907|907,193|193|193,969|969|969,225|225|225,8,32,32,0,False,False,9,False,1,0,2,1,False,I-PL_VendorAddress
3,5,Master,6,24,999999,1722,198,1943,258,1722|1722|1722|1722|1722|1722,198|198|198|198|198|198,1943|1943|1943|1943|1943|1943,258|258|258|258|258|258,753,60,60,0,False,False,9,False,1,0,0,2,False,B-PL_DocType
3,6,Packing,7,31,9999999,1963,196,2221,274,1963|1963|1963|1963|1963|1963|1963,196|196|196|196|196|196|196,2221|2221|2221|2221|2221|2221|2221,274|274|274|274|274|274|274,20,78,78,0,False,False,9,False,1,0,0,2,False,I-PL_DocType
3,7,List,4,39,9999,2244,196,2362,258,2244|2244|2244|2244,196|196|196|196,2362|2362|2362|2362,258|258|258|258,23,62,62,0,False,False,9,False,1,0,0,2,False,I-PL_DocType
4,0,Canada,6,0,999999,635,233,757,268,635|635|635|635|635|635,233|233|233|233|233|233,757|757|757|757|757|757,268|268|268|268|268|268,0,35,35,0,False,False,9,False,1,0,0,0,False,I-PL_VendorAddress
5,0,Aut,3,0,222,90,280,149,304,90|90|90,280|280|280,149|149|149,304|304|304,0,24,24,0,False,False,2,False,1,0,0,0,False,O
5,1,uninde,6,4,222222,175,274,270,301,175|175|175|175|175|175,274|274|274|274|274|274,270|270|270|270|270|270,301|301|301|301|301|301,26,27,27,0,False,False,2,False,1,0,0,1,False,O
5,2,Corporation,11,11,99999999999,277,273,444,304,277|277|277|277|277|277|277|277|277|277|277,273|273|273|273|273|273|273|273|273|273|273,444|444|444|444|444|444|444|444|444|444|444,304|304|304|304|304|304|304|304|304|304|304,7,31,31,0,False,False,9,False,1,0,0,1,False,O
5,3,Tel,3,23,999,635,280,682,312,635|635|635,280|280|280,682|682|682,312|312|312,191,32,32,0,False,False,9,False,1,0,0,2,False,O
5,4,905-778-1464,12,27,999999999999,691,282,906,317,691|691|691|691|691|691|691|691|691|691|691|691,282|282|282|282|282|282|282|282|282|282|282|282,906|906|906|906|906|906|906|906|906|906|906|906,317|317|317|317|317|317|317|317|317|317|317|317,9,35,35,0,False,True,9,False,1,0,10,2,False,O
6,0,Fax,3,0,999,638,330,697,363,638|638|638,330|330|330,697|697|697,363|363|363,0,33,33,0,False,False,9,False,1,0,0,0,False,O
6,1,905-778-1467,12,4,999999999999,704,332,920,366,704|704|704|704|704|704|704|704|704|704|704|704,332|332|332|332|332|332|332|332|332|332|332|332,920|920|920|920|920|920|920|920|920|920|920|920,366|366|366|366|366|366|366|366|366|366|366|366,7,34,34,0,False,True,9,False,1,0,10,0,False,O
7,0,Plant,5,0,99999,204,472,305,513,204|204|204|204|204,472|472|472|472|472,305|305|305|305|305,513|513|513|513|513,0,41,41,0,False,False,9,False,1,0,0,0,False,O
7,1,ID,2,6,99,317,472,360,512,317|317,472|472,360|360,512|512,12,40,40,0,True,False,9,False,1,0,0,0,False,O
7,2,No,2,9,99,373,473,440,513,373|373,473|473,440|440,513|513,13,40,40,0,False,False,9,False,1,0,0,0,False,O
7,3,:,1,11,9,373,473,440,513,373,473,440,513,-67,40,40,0,False,True,9,True,1,0,0,1,False,O
7,4,HMI,3,13,999,460,474,540,514,460|460|460,474|474|474,540|540|540,514|514|514,20,40,40,0,True,False,9,False,1,0,0,2,False,O
7,5,Ship,4,17,9999,1351,473,1437,521,1351|1351|1351|1351,473|473|473|473,1437|1437|1437|1437,521|521|521|521,811,48,48,0,False,False,9,False,1,0,0,3,False,O
7,6,To,2,22,99,1447,473,1493,513,1447|1447,473|473,1493|1493,513|513,10,40,40,0,False,False,9,False,1,0,0,3,False,O
7,7,HONDA,5,25,99999,1506,473,1661,512,1506|1506|1506|1506|1506,473|473|473|473|473,1661|1661|1661|1661|1661,512|512|512|512|512,13,39,39,0,True,False,9,False,1,0,0,3,False,B-PL_SidNo
7,8,MANUFACTURING,13,31,9999999999999,1671,473,2042,512,1671|1671|1671|1671|1671|1671|1671|1671|1671|1671|1671|1671|1671,473|473|473|473|473|473|473|473|473|473|473|473|473,2042|2042|2042|2042|2042|2042|2042|2042|2042|2042|2042|2042|2042,512|512|512|512|512|512|512|512|512|512|512|512|512,10,39,39,0,True,False,9,False,1,0,0,3,False,I-PL_SidNo
7,9,OF,2,45,99,2054,473,2111,512,2054|2054,473|473,2111|2111,512|512,12,39,39,0,True,False,9,False,1,0,0,3,False,I-PL_SidNo
7,10,INDIANA,7,48,9999999,2124,473,2294,512,2124|2124|2124|2124|2124|2124|2124,473|473|473|473|473|473|473,2294|2294|2294|2294|2294|2294|2294,512|512|512|512|512|512|512,13,39,39,0,True,False,9,False,1,0,0,3,False,I-PL_SidNo
8,0,Name,4,0,9999,1369,527,1492,565,1369|1369|1369|1369,527|527|527|527,1492|1492|1492|1492,565|565|565|565,0,38,38,0,False,False,9,False,1,0,0,0,False,O
8,1,:,1,4,9,1369,527,1492,565,1369,527,1492,565,-123,38,38,0,False,True,9,True,1,0,0,1,False,O
8,2,IHMI1,5,6,99999,1507,526,1614,564,1507|1507|1507|1507|1507,526|526|526|526|526,1614|1614|1614|1614|1614,564|564|564|564|564,15,38,38,0,False,False,9,False,1,0,1,2,False,O
8,3,02,2,12,99,1630,527,1679,564,1630|1630,527|527,1679|1679,564|564,16,37,37,0,False,False,9,False,1,0,2,2,True,O
9,0,Ship,4,0,9999,121,552,209,602,121|121|121|121,552|552|552|552,209|209|209|209,602|602|602|602,0,50,50,0,False,False,9,False,1,0,0,0,False,O
9,1,To,2,5,99,219,552,267,593,219|219,552|552,267|267,593|593,10,41,41,0,False,False,9,False,1,0,0,0,False,O
9,2,NO,2,8,99,279,553,443,594,279|279,553|553,443|443,594|594,12,41,41,0,True,False,9,False,1,0,0,0,False,O
9,3,/,1,10,9,279,553,443,594,279,553,443,594,-164,41,41,0,False,True,9,True,1,0,0,0,False,O
9,4,WH,2,11,99,279,553,443,594,279|279,553|553,443|443,594|594,-164,41,41,0,True,False,9,False,1,0,0,0,False,O
9,5,:,1,13,9,279,553,443,594,279,553,443,594,-164,41,41,0,False,True,9,True,1,0,0,1,False,O
9,6,IHMI1,5,15,99999,463,555,575,596,463|463|463|463|463,555|555|555|555|555,575|575|575|575|575,596|596|596|596|596,20,41,41,0,False,False,9,False,1,0,1,2,False,B-PL_ShippingNo
9,7,02,2,21,99,591,557,640,597,591|591,557|557,640|640,597|597,16,40,40,0,False,False,9,False,1,0,2,2,True,I-PL_ShippingNo
9,8,1955,4,24,9999,1507,579,1601,618,1507|1507|1507|1507,579|579|579|579,1601|1601|1601|1601,618|618|618|618,867,39,39,0,False,False,9,False,1,0,4,3,True,O
9,9,W.,2,29,99,1611,578,1660,617,1611|1611,578|578,1660|1660,617|617,10,39,39,0,False,True,9,False,1,0,0,3,False,O
9,10,COUNTY,6,32,999999,1673,579,1852,617,1673|1673|1673|1673|1673|1673,579|579|579|579|579|579,1852|1852|1852|1852|1852|1852,617|617|617|617|617|617,13,38,38,0,True,False,9,False,1,0,0,3,False,O
9,11,ROAD,4,39,9999,1865,579,1986,617,1865|1865|1865|1865,579|579|579|579,1986|1986|1986|1986,617|617|617|617,13,38,38,0,True,False,9,False,1,0,0,3,False,O
9,12,250,3,44,999,1997,579,2069,617,1997|1997|1997,579|579|579,2069|2069|2069,617|617|617,11,38,38,0,False,False,9,False,1,0,3,3,True,O
9,13,N,1,48,9,2080,579,2110,618,2080,579,2110,618,11,39,39,0,True,False,9,False,1,0,0,3,False,O
10,0,Supplier,8,0,99999999,220,636,394,684,220|220|220|220|220|220|220|220,636|636|636|636|636|636|636|636,394|394|394|394|394|394|394|394,684|684|684|684|684|684|684|684,0,48,48,0,False,False,9,False,1,0,0,0,False,O
10,1,#,1,9,9,404,635,444,676,404,635,444,676,10,41,41,0,False,True,9,False,1,0,0,0,False,O
10,2,:,1,10,9,404,635,444,676,404,635,444,676,-40,41,41,0,False,True,9,True,1,0,0,1,False,O
10,3,11146002,8,12,99999999,464,637,654,678,464|464|464|464|464|464|464|464,637|637|637|637|637|637|637|637,654|654|654|654|654|654|654|654,678|678|678|678|678|678|678|678,20,41,41,0,False,False,9,False,1,0,8,2,True,B-PL_SupplierCode
10,4,ASN,3,21,999,1322,649,1492,688,1322|1322|1322,649|649|649,1492|1492|1492,688|688|688,668,39,39,0,True,False,9,False,1,0,0,3,False,O
10,5,/,1,24,9,1322,649,1492,688,1322,649,1492,688,-170,39,39,0,False,True,9,True,1,0,0,3,False,O
