LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
1,0,PACKING,7,0,9999999,904,51,1306,122,904|904|904|904|904|904|904,51|51|51|51|51|51|51,1306|1306|1306|1306|1306|1306|1306,122|122|122|122|122|122|122,0,71,71,0,True,False,9,False,1,0,0,0,False,B-PS_DocType
1,1,SLIP,4,8,9999,1327,53,1512,123,1327|1327|1327|1327,53|53|53|53,1512|1512|1512|1512,123|123|123|123,21,70,70,0,True,False,9,False,1,0,0,0,False,I-PS_DocType
1,2,PAGE,4,13,9999,1850,85,1967,121,1850|1850|1850|1850,85|85|85|85,1967|1967|1967|1967,121|121|121|121,338,36,36,0,True,False,9,False,1,0,0,1,False,O
1,3,#,1,18,9,1975,85,2001,120,1975,85,2001,120,8,35,35,0,False,True,9,False,1,0,0,1,False,O
1,4,1,1,20,9,2019,85,2039,121,2019,85,2039,121,18,36,36,0,False,False,9,False,1,0,1,1,True,O
1,5,OF,2,22,99,2060,84,2122,120,2060|2060,84|84,2122|2122,120|120,21,36,36,0,True,False,9,False,1,0,0,1,False,O
1,6,1,1,25,8,2162,87,2180,122,2162,87,2180,122,40,35,35,0,False,False,8,False,1,0,1,1,True,O
2,0,roup,4,0,9999,495,121,638,181,495|495|495|495,121|121|121|121,638|638|638|638,181|181|181|181,0,60,60,0,False,False,9,False,1,0,0,0,False,O
2,1,This,4,5,9999,911,141,979,173,911|911|911|911,141|141|141|141,979|979|979|979,173|173|173|173,273,32,32,0,False,False,9,False,1,0,0,1,False,O
2,2,is,2,10,99,986,140,1013,172,986|986,140|140,1013|1013,172|172,7,32,32,0,False,False,9,False,1,0,0,1,False,O
