LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
1,0,LYCON,5,0,99999,231,22,376,69,231|231|231|231|231,22|22|22|22|22,376|376|376|376|376,69|69|69|69|69,0,47,47,0,True,False,9,False,1,0,0,0,False,B-PL_VendorAddressRecipient
1,1,INDUSTRIES,10,6,9999999999,403,36,707,92,403|403|403|403|403|403|403|403|403|403,36|36|36|36|36|36|36|36|36|36,707|707|707|707|707|707|707|707|707|707,92|92|92|92|92|92|92|92|92|92,27,56,56,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddressRecipient
1,2,SHIPPER,7,17,9999999,1336,3,1666,58,1336|1336|1336|1336|1336|1336|1336,3|3|3|3|3|3|3,1666|1666|1666|1666|1666|1666|1666,58|58|58|58|58|58|58,629,55,55,0,True,False,9,False,1,0,0,1,False,B-PL_DocType
1,3,/,1,24,9,1336,3,1666,58,1336,3,1666,58,-330,55,55,0,False,True,9,True,1,0,0,1,False,I-PL_DocType
2,0,65,2,0,99,166,85,217,124,166|166,85|85,217|217,124|124,0,39,39,0,False,False,9,False,1,0,2,0,True,O
2,1,INDEPENDENCE,12,3,999999999999,250,86,617,155,250|250|250|250|250|250|250|250|250|250|250|250,86|86|86|86|86|86|86|86|86|86|86|86,617|617|617|617|617|617|617|617|617|617|617|617,155|155|155|155|155|155|155|155|155|155|155|155,33,69,69,0,True,False,9,False,1,0,0,0,False,B-PL_VendorAddress
2,2,PLACE,5,16,99999,645,120,789,157,645|645|645|645|645,120|120|120|120|120,789|789|789|789|789,157|157|157|157|157,28,37,37,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddress
2,3,PKG,3,22,999,1333,84,1461,135,1333|1333|1333,84|84|84,1461|1461|1461,135|135|135,544,51,51,0,True,False,9,False,1,0,0,1,False,I-PL_DocType
2,4,LIST,4,26,9999,1502,78,1673,131,1502|1502|1502|1502,78|78|78|78,1673|1673|1673|1673,131|131|131|131,41,53,53,0,True,False,9,False,1,0,0,1,False,I-PL_DocType
3,0,FEDERAL,7,0,9999999,163,150,373,199,163|163|163|163|163|163|163,150|150|150|150|150|150|150,373|373|373|373|373|373|373,199|199|199|199|199|199|199,0,49,49,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddress
3,1,TAX,3,8,999,400,167,496,213,400|400|400,167|167|167,496|496|496,213|213|213,27,46,46,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddress
3,2,#,1,12,9,526,176,553,220,526,176,553,220,30,44,44,0,False,True,9,False,1,0,0,1,False,I-PL_VendorAddress
3,3,923801-01607,12,14,999999999999,587,182,929,222,587|587|587|587|587|587|587|587|587|587|587|587,182|182|182|182|182|182|182|182|182|182|182|182,929|929|929|929|929|929|929|929|929|929|929|929,222|222|222|222|222|222|222|222|222|222|222|222,34,40,40,0,False,True,9,False,1,0,11,2,False,I-PL_VendorAddress
4,0,GUELPH,6,0,999999,161,219,341,260,161|161|161|161|161|161,219|219|219|219|219|219,341|341|341|341|341|341,260|260|260|260|260|260,0,41,41,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddress
4,1,ON,2,7,99,371,230,434,271,371|371,230|230,434|434,271|271,30,41,41,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddress
4,2,N1K,3,10,999,492,242,584,283,492|492|492,242|242|242,584|584|584,283|283|283,58,41,41,0,False,False,9,False,1,0,1,1,False,I-PL_VendorAddress
4,3,1H8,3,14,999,616,248,698,285,616|616|616,248|248|248,698|698|698,285|285|285,32,37,37,0,False,False,9,False,1,0,2,1,False,I-PL_VendorAddress
4,4,DATE,4,18,9999,1333,235,1478,272,1333|1333|1333|1333,235|235|235|235,1478|1478|1478|1478,272|272|272|272,635,37,37,0,True,False,9,False,1,0,0,2,False,O
4,5,:,1,22,9,1333,235,1478,272,1333,235,1478,272,-145,37,37,0,False,True,9,True,1,0,0,3,False,O
4,6,01/03/23,8,24,99999999,1529,227,1726,267,1529|1529|1529|1529|1529|1529|1529|1529,227|227|227|227|227|227|227|227,1726|1726|1726|1726|1726|1726|1726|1726,267|267|267|267|267|267|267|267,51,40,40,0,False,True,9,False,1,0,6,4,False,B-PL_ShipDate
4,7,SID,3,33,999,1882,227,1990,262,1882|1882|1882,227|227|227,1990|1990|1990,262|262|262,156,35,35,0,True,False,9,False,1,0,0,5,False,O
4,8,:,1,36,9,1882,227,1990,262,1882,227,1990,262,-108,35,35,0,False,True,9,True,1,0,0,6,False,O
4,9,556114,6,38,999999,2193,235,2337,269,2193|2193|2193|2193|2193|2193,235|235|235|235|235|235,2337|2337|2337|2337|2337|2337,269|269|269|269|269|269,203,34,34,0,False,False,9,False,1,0,6,7,True,O
5,0,QUANTITY,8,0,99999999,193,408,347,436,193|193|193|193|193|193|193|193,408|408|408|408|408|408|408|408,347|347|347|347|347|347|347|347,436|436|436|436|436|436|436|436,0,28,28,0,True,False,9,False,1,0,0,0,False,O
5,1,CONTAINERS,10,9,9999999999,1379,416,1568,442,1379|1379|1379|1379|1379|1379|1379|1379|1379|1379,416|416|416|416|416|416|416|416|416|416,1568|1568|1568|1568|1568|1568|1568|1568|1568|1568,442|442|442|442|442|442|442|442|442|442,1032,26,26,0,True,False,9,False,1,0,0,1,False,O
6,0,CUSTOMER,8,0,99999999,542,430,692,459,542|542|542|542|542|542|542|542,430|430|430|430|430|430|430|430,692|692|692|692|692|692|692|692,459|459|459|459|459|459|459|459,0,29,29,0,True,False,9,False,1,0,0,0,False,O
6,1,PARTNO,6,9,999999,710,433,820,458,710|710|710|710|710|710,433|433|433|433|433|433,820|820|820|820|820|820,458|458|458|458|458|458,18,25,25,0,True,False,9,False,1,0,0,0,False,O
6,2,-,1,16,9,840,442,855,453,840,442,855,453,20,11,11,0,False,True,9,True,1,0,0,0,False,O
6,3,NET,3,18,999,873,432,931,456,873|873|873,432|432|432,931|931|931,456|456|456,18,24,24,0,True,False,9,False,1,0,0,0,False,O
6,4,WEIGHT,6,22,999999,947,428,1061,453,947|947|947|947|947|947,428|428|428|428|428|428,1061|1061|1061|1061|1061|1061,453|453|453|453|453|453,16,25,25,0,True,False,9,False,1,0,0,0,False,O
6,5,CUMULATIVE,10,29,9999999999,1749,442,1940,466,1749|1749|1749|1749|1749|1749|1749|1749|1749|1749,442|442|442|442|442|442|442|442|442|442,1940|1940|1940|1940|1940|1940|1940|1940|1940|1940,466|466|466|466|466|466|466|466|466|466,688,24,24,0,True,False,9,False,1,0,0,1,False,O
7,0,SHIPPED,7,0,9999999,207,464,339,491,207|207|207|207|207|207|207,464|464|464|464|464|464|464,339|339|339|339|339|339|339,491|491|491|491|491|491|491,0,27,27,0,True,False,9,False,1,0,0,0,False,O
7,1,WORK,4,8,9999,490,479,569,507,490|490|490|490,479|479|479|479,569|569|569|569,507|507|507|507,151,28,28,0,True,False,9,False,1,0,0,1,False,O
7,2,ORDER,5,13,99999,584,486,680,512,584|584|584|584|584,486|486|486|486|486,680|680|680|680|680,512|512|512|512|512,15,26,26,0,True,False,9,False,1,0,0,1,False,O
7,3,NO.,3,19,999,696,488,747,512,696|696|696,488|488|488,747|747|747,512|512|512,16,24,24,0,False,True,9,False,1,0,0,1,False,O
7,4,-CUSTOMER,9,23,888888888,779,485,936,510,779|779|779|779|779|779|779|779|779,485|485|485|485|485|485|485|485|485,936|936|936|936|936|936|936|936|936,510|510|510|510|510|510|510|510|510,32,25,25,0,False,True,8,False,1,0,0,2,False,O
7,5,ORDER,5,33,99999,953,482,1047,506,953|953|953|953|953,482|482|482|482|482,1047|1047|1047|1047|1047,506|506|506|506|506,17,24,24,0,True,False,9,False,1,0,0,2,False,O
7,6,NO.,3,39,888,1064,481,1115,504,1064|1064|1064,481|481|481,1115|1115|1115,504|504|504,17,23,23,0,False,True,8,False,1,0,0,2,False,O
7,7,QTY,3,43,999,1370,474,1427,498,1370|1370|1370,474|474|474,1427|1427|1427,498|498|498,255,24,24,0,True,False,9,False,1,0,0,3,False,O
7,8,TYPE,4,47,9999,1543,471,1621,495,1543|1543|1543|1543,471|471|471|471,1621|1621|1621|1621,495|495|495|495,116,24,24,0,True,False,9,False,1,0,0,4,False,O
8,0,1,1,0,9,310,524,328,550,310,524,328,550,0,26,26,0,False,False,9,False,1,0,1,0,True,O
8,1,0CCD1946,8,2,99999999,532,540,689,570,532|532|532|532|532|532|532|532,540|540|540|540|540|540|540|540,689|689|689|689|689|689|689|689,570|570|570|570|570|570|570|570,204,30,30,0,False,False,9,False,1,0,5,1,False,O
8,2,0,1,11,9,1273,532,1290,557,1273,532,1290,557,584,25,25,0,False,False,9,False,1,0,1,2,True,O
8,3,RCK90,5,13,99999,1549,528,1648,553,1549|1549|1549|1549|1549,528|528|528|528|528,1648|1648|1648|1648|1648,553|553|553|553|553,259,25,25,0,False,False,9,False,1,0,2,3,False,O
8,4,30863,5,19,99999,1990,527,2087,553,1990|1990|1990|1990|1990,527|527|527|527|527,2087|2087|2087|2087|2087,553|553|553|553|553,342,26,26,0,False,False,9,False,1,0,5,4,True,O
9,0,0CCD1946,8,0,99999999,531,576,687,605,531|531|531|531|531|531|531|531,576|576|576|576|576|576|576|576,687|687|687|687|687|687|687|687,605|605|605|605|605|605|605|605,0,29,29,0,False,False,9,False,1,0,5,0,False,O
9,1,11148467,8,9,99999999,882,573,1034,603,882|882|882|882|882|882|882|882,573|573|573|573|573|573|573|573,1034|1034|1034|1034|1034|1034|1034|1034,603|603|603|603|603|603|603|603,195,30,30,0,False,False,9,False,1,0,8,1,True,O
9,2,EA,2,18,99,1212,568,1253,594,1212|1212,568|568,1253|1253,594|594,178,26,26,0,True,False,9,False,1,0,0,2,False,O
