LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
1,0,Dynamic,7,0,9999999,346,96,495,129,346|346|346|346|346|346|346,96|96|96|96|96|96|96,495|495|495|495|495|495|495,129|129|129|129|129|129|129,0,33,33,0,False,False,9,False,1,0,0,0,False,B-PS_VendorAddressRecipient
1,1,"Suspensions,",12,8,999999999999,504,97,725,130,504|504|504|504|504|504|504|504|504|504|504|504,97|97|97|97|97|97|97|97|97|97|97|97,725|725|725|725|725|725|725|725|725|725|725|725,130|130|130|130|130|130|130|130|130|130|130|130,9,33,33,0,False,True,9,False,1,0,0,0,False,I-PS_VendorAddressRecipient
2,0,a,1,0,9,345,142,366,163,345,142,366,163,0,21,21,0,False,False,9,False,1,0,0,0,False,I-PS_VendorAddressRecipient
2,1,division,8,2,99999999,377,135,509,163,377|377|377|377|377|377|377|377,135|135|135|135|135|135|135|135,509|509|509|509|509|509|509|509,163|163|163|163|163|163|163|163,11,28,28,0,False,False,9,False,1,0,0,0,False,I-PS_VendorAddressRecipient
2,2,of,2,11,99,520,135,555,163,520|520,135|135,555|555,163|163,11,28,28,0,False,False,9,False,1,0,0,0,False,I-PS_VendorAddressRecipient
2,3,Multimatic,10,14,9999999999,566,135,744,164,566|566|566|566|566|566|566|566|566|566,135|135|135|135|135|135|135|135|135|135,744|744|744|744|744|744|744|744|744|744,164|164|164|164|164|164|164|164|164|164,11,29,29,0,False,False,9,False,1,0,0,0,False,I-PS_VendorAddressRecipient
2,4,Inc.,4,25,9999,753,136,820,165,753|753|753|753,136|136|136|136,820|820|820|820,165|165|165|165,9,29,29,0,False,True,9,False,1,0,0,0,False,I-PS_VendorAddressRecipient
2,5,Page,4,30,9999,2207,119,2265,147,2207|2207|2207|2207,119|119|119|119,2265|2265|2265|2265,147|147|147|147,1387,28,28,0,False,False,9,False,1,0,0,1,False,O
2,6,2,1,35,9,2272,121,2290,144,2272,121,2290,144,7,23,23,0,False,False,9,False,1,0,1,1,True,O
2,7,of,2,37,99,2296,122,2320,144,2296|2296,122|122,2320|2320,144|144,6,22,22,0,False,False,9,False,1,0,0,1,False,O
