,LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
0,1,0,ORIGINAL,8,0,99999999,1778,236,1969,267,1778|1778|1778|1778|1778|1778|1778|1778,236|236|236|236|236|236|236|236,1969|1969|1969|1969|1969|1969|1969|1969,267|267|267|267|267|267|267|267,0,31,31,0,True,False,9,False,1,0,0,0,False,O
1,1,1,FOR,3,9,999,1979,238,2054,268,1979|1979|1979,238|238|238,2054|2054|2054,268|268|268,10,30,30,0,True,False,9,False,1,0,0,0,False,O
2,1,2,RECIPIENT,9,13,999999999,2065,239,2267,269,2065|2065|2065|2065|2065|2065|2065|2065|2065,239|239|239|239|239|239|239|239|239,2267|2267|2267|2267|2267|2267|2267|2267|2267,269|269|269|269|269|269|269|269|269,11,30,30,0,True,False,9,False,1,0,0,0,False,O
3,2,0,r,1,0,6,239,306,370,371,239,306,370,371,0,65,65,0,False,False,6,False,1,0,0,0,False,O
4,2,1,randstad,8,2,99999999,425,282,846,378,425|425|425|425|425|425|425|425,282|282|282|282|282|282|282|282,846|846|846|846|846|846|846|846,378|378|378|378|378|378|378|378,55,96,96,0,False,False,9,False,1,0,0,0,False,B-Invoice_VendorName
5,2,2,TAX,3,11,999,1762,316,1907,380,1762|1762|1762,316|316|316,1907|1907|1907,380|380|380,916,64,64,0,True,False,9,False,1,0,0,1,False,O
6,2,3,INVOICE,7,15,9999999,1932,317,2241,381,1932|1932|1932|1932|1932|1932|1932,317|317|317|317|317|317|317,2241|2241|2241|2241|2241|2241|2241,381|381|381|381|381|381|381,25,64,64,0,True,False,9,False,1,0,0,1,False,O
7,3,0,084655,6,0,999999,1815,398,2090,471,1815|1815|1815|1815|1815|1815,398|398|398|398|398|398,2090|2090|2090|2090|2090|2090,471|471|471|471|471|471,0,73,73,0,False,False,9,False,1,0,6,0,True,O
8,4,0,Randstad,8,0,99999999,255,510,427,541,255|255|255|255|255|255|255|255,510|510|510|510|510|510|510|510,427|427|427|427|427|427|427|427,541|541|541|541|541|541|541|541,0,31,31,0,False,False,9,False,1,0,0,0,False,B-Invoice_VendorAddressRecipient
9,4,1,India,5,9,99999,437,511,533,541,437|437|437|437|437,511|511|511|511|511,533|533|533|533|533,541|541|541|541|541,10,30,30,0,False,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
10,4,2,Private,7,15,9999999,545,511,673,542,545|545|545|545|545|545|545,511|511|511|511|511|511|511,673|673|673|673|673|673|673,542|542|542|542|542|542|542,12,31,31,0,False,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
11,4,3,Limited,7,23,9999999,685,511,819,544,685|685|685|685|685|685|685,511|511|511|511|511|511|511,819|819|819|819|819|819|819,544|544|544|544|544|544|544,12,33,33,0,False,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
12,4,4,Invoice,7,31,9999999,1590,512,1726,543,1590|1590|1590|1590|1590|1590|1590,512|512|512|512|512|512|512,1726|1726|1726|1726|1726|1726|1726,543|543|543|543|543|543|543,771,31,31,0,False,False,9,False,1,0,0,1,False,O
13,4,5,No,2,39,99,1736,513,1797,543,1736|1736,513|513,1797|1797,543|543,10,30,30,0,False,False,9,False,1,0,0,1,False,O
14,4,6,:,1,41,9,1736,513,1797,543,1736,513,1797,543,-61,30,30,0,False,True,9,True,1,0,0,2,False,O
15,4,7,R50590176,9,43,999999999,1916,510,2149,546,1916|1916|1916|1916|1916|1916|1916|1916|1916,510|510|510|510|510|510|510|510|510,2149|2149|2149|2149|2149|2149|2149|2149|2149,546|546|546|546|546|546|546|546|546,119,36,36,0,False,False,9,False,1,0,8,3,False,B-Invoice_InvoiceId
16,5,0,"307/308,3rd",11,0,99999999999,253,559,449,595,253|253|253|253|253|253|253|253|253|253|253,559|559|559|559|559|559|559|559|559|559|559,449|449|449|449|449|449|449|449|449|449|449,595|595|595|595|595|595|595|595|595|595|595,0,36,36,0,False,True,9,False,1,0,7,0,False,B-Invoice_VendorAddress
17,5,1,"Floor,,",7,12,9999999,461,560,560,597,461|461|461|461|461|461|461,560|560|560|560|560|560|560,560|560|560|560|560|560|560,597|597|597|597|597|597|597,12,37,37,0,False,True,9,False,1,0,0,0,False,I-Invoice_VendorAddress
18,5,2,Date,4,20,9999,1590,587,1674,617,1590|1590|1590|1590,587|587|587|587,1674|1674|1674|1674,617|617|617|617,1030,30,30,0,False,False,9,False,1,0,0,1,False,O
19,5,3,:,1,24,9,1590,587,1674,617,1590,587,1674,617,-84,30,30,0,False,True,9,True,1,0,0,2,False,O
20,5,4,16.10.2019,10,26,9999999999,1915,588,2094,620,1915|1915|1915|1915|1915|1915|1915|1915|1915|1915,588|588|588|588|588|588|588|588|588|588,2094|2094|2094|2094|2094|2094|2094|2094|2094|2094,620|620|620|620|620|620|620|620|620|620,241,32,32,0,False,True,9,False,1,0,8,3,False,B-Invoice_InvoiceDate
21,6,0,Sigma,5,0,99999,254,608,351,645,254|254|254|254|254,608|608|608|608|608,351|351|351|351|351,645|645|645|645|645,0,37,37,0,False,False,9,False,1,0,0,0,False,I-Invoice_VendorAddress
22,6,1,"Legacy,IIM",10,6,9999999999,363,609,537,646,363|363|363|363|363|363|363|363|363|363,609|609|609|609|609|609|609|609|609|609,537|537|537|537|537|537|537|537|537|537,646|646|646|646|646|646|646|646|646|646,12,37,37,0,False,True,9,False,1,0,0,0,False,I-Invoice_VendorAddress
23,6,2,"Road,",5,17,99999,546,610,644,646,546|546|546|546|546,610|610|610|610|610,644|644|644|644|644,646|646|646|646|646,9,36,36,0,False,True,9,False,1,0,0,0,False,I-Invoice_VendorAddress
