LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
1,0,Traxle,6,0,999999,51,77,238,139,51|51|51|51|51|51,77|77|77|77|77|77,238|238|238|238|238|238,139|139|139|139|139|139,0,62,62,0,False,False,9,False,1,0,0,0,False,B-PS_VendorAddressRecipient
1,1,Manufacturing,13,7,9999999999999,258,79,683,162,258|258|258|258|258|258|258|258|258|258|258|258|258,79|79|79|79|79|79|79|79|79|79|79|79|79,683|683|683|683|683|683|683|683|683|683|683|683|683,162|162|162|162|162|162|162|162|162|162|162|162|162,20,83,83,0,False,False,9,False,1,0,0,0,False,I-PS_VendorAddressRecipient
2,0,280,3,0,999,55,170,106,197,55|55|55,170|170|170,106|106|106,197|197|197,0,27,27,0,False,False,9,False,1,0,3,0,True,B-PS_VendorAddress
2,1,Speedvale,9,4,999999999,115,171,254,203,115|115|115|115|115|115|115|115|115,171|171|171|171|171|171|171|171|171,254|254|254|254|254|254|254|254|254,203|203|203|203|203|203|203|203|203,9,32,32,0,False,False,9,False,1,0,0,0,False,I-PS_VendorAddress
2,2,Ave,3,14,999,261,171,313,197,261|261|261,171|171|171,313|313|313,197|197|197,7,26,26,0,False,False,9,False,1,0,0,0,False,I-PS_VendorAddress
2,3,"West,",5,18,99999,321,172,403,202,321|321|321|321|321,172|172|172|172|172,403|403|403|403|403,202|202|202|202|202,8,30,30,0,False,True,9,False,1,0,0,0,False,I-PS_VendorAddress
2,4,"Guelph,",7,24,9999999,414,173,518,206,414|414|414|414|414|414|414,173|173|173|173|173|173|173,518|518|518|518|518|518|518,206|206|206|206|206|206|206,11,33,33,0,False,True,9,False,1,0,0,0,False,I-PS_VendorAddress
2,5,"ON,",3,32,999,529,176,581,207,529|529|529,176|176|176,581|581|581,207|207|207,11,31,31,0,False,True,9,False,1,0,0,0,False,I-PS_VendorAddress
2,6,N1H,3,36,999,592,177,651,205,592|592|592,177|177|177,651|651|651,205|205|205,11,28,28,0,False,False,9,False,1,0,1,0,False,I-PS_VendorAddress
2,7,"1C4,",4,40,9999,662,178,722,209,662|662|662|662,178|178|178|178,722|722|722|722,209|209|209|209,11,31,31,0,False,True,9,False,1,0,2,0,False,I-PS_VendorAddress
