LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
1,0,MARTINREA,9,0,999999999,520,437,766,480,520|520|520|520|520|520|520|520|520,437|437|437|437|437|437|437|437|437,766|766|766|766|766|766|766|766|766,480|480|480|480|480|480|480|480|480,0,43,43,0,True,False,9,False,1,0,0,0,False,O
1,1,TILLSONBURG,11,10,99999999999,773,443,1057,483,773|773|773|773|773|773|773|773|773|773|773,443|443|443|443|443|443|443|443|443|443|443,1057|1057|1057|1057|1057|1057|1057|1057|1057|1057|1057,483|483|483|483|483|483|483|483|483|483|483,7,40,40,0,True,False,9,False,1,0,0,0,False,O
2,0,301,3,0,999,518,522,574,553,518|518|518,522|522|522,574|574|574,553|553|553,0,31,31,0,False,False,9,False,1,0,3,0,True,O
2,1,Tillson,7,4,9999999,586,522,694,555,586|586|586|586|586|586|586,522|522|522|522|522|522|522,694|694|694|694|694|694|694,555|555|555|555|555|555|555,12,33,33,0,False,False,9,False,1,0,0,0,False,O
2,2,"Avenue,",7,12,9999999,703,525,836,562,703|703|703|703|703|703|703,525|525|525|525|525|525|525,836|836|836|836|836|836|836,562|562|562|562|562|562|562,9,37,37,0,False,True,9,False,1,0,0,0,False,O
2,3,Building,8,20,99999999,855,526,991,565,855|855|855|855|855|855|855|855,526|526|526|526|526|526|526|526,991|991|991|991|991|991|991|991,565|565|565|565|565|565|565|565,19,39,39,0,False,False,9,False,1,0,0,0,False,O
2,4,"12,",3,29,999,1000,528,1048,564,1000|1000|1000,528|528|528,1048|1048|1048,564|564|564,9,36,36,0,False,True,9,False,1,0,2,0,True,O
2,5,SHIPPER,7,33,8888888,1654,490,1968,532,1654|1654|1654|1654|1654|1654|1654,490|490|490|490|490|490|490,1968|1968|1968|1968|1968|1968|1968,532|532|532|532|532|532|532,606,42,42,0,True,False,8,False,1,0,0,1,False,O
2,6,/,1,40,8,1654,490,1968,532,1654,490,1968,532,-314,42,42,0,False,True,8,True,1,0,0,1,False,O
2,7,PKG.,4,41,8888,1654,490,1968,532,1654|1654|1654|1654,490|490|490|490,1968|1968|1968|1968,532|532|532|532,-314,42,42,0,False,True,8,False,1,0,0,1,False,O
2,8,LIST,4,46,9999,1980,493,2077,531,1980|1980|1980|1980,493|493|493|493,2077|2077|2077|2077,531|531|531|531,12,38,38,0,True,False,9,False,1,0,0,1,False,O
3,0,MARINEEL,8,0,22222222,251,547,468,579,251|251|251|251|251|251|251|251,547|547|547|547|547|547|547|547,468|468|468|468|468|468|468|468,579|579|579|579|579|579|579|579,0,32,32,0,True,False,2,False,1,0,0,0,False,O
3,1,"Tillsonburg,",12,9,999999999999,517,563,713,602,517|517|517|517|517|517|517|517|517|517|517|517,563|563|563|563|563|563|563|563|563|563|563|563,713|713|713|713|713|713|713|713|713|713|713|713,602|602|602|602|602|602|602|602|602|602|602|602,49,39,39,0,False,True,9,False,1,0,0,1,False,B-PL_VendorAddress
