LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
1,0,ALLGAIER,8,0,99999999,1560,210,1958,283,1560|1560|1560|1560|1560|1560|1560|1560,210|210|210|210|210|210|210|210,1958|1958|1958|1958|1958|1958|1958|1958,283|283|283|283|283|283|283|283,0,73,73,0,True,False,9,False,1,0,0,0,False,B-DN_VendorName
1,1,FRANCE,6,9,999999,2039,240,2235,282,2039|2039|2039|2039|2039|2039,240|240|240|240|240|240,2235|2235|2235|2235|2235|2235,282|282|282|282|282|282,81,42,42,0,True,False,9,False,1,0,0,1,False,O
2,0,Page,4,0,9999,2074,367,2148,399,2074|2074|2074|2074,367|367|367|367,2148|2148|2148|2148,399|399|399|399,0,32,32,0,False,False,9,False,1,0,0,0,False,O
2,1,1,1,5,9,2161,368,2173,393,2161,368,2173,393,13,25,25,0,False,False,9,False,1,0,1,0,True,O
2,2,of,2,7,99,2183,366,2217,394,2183|2183,366|366,2217|2217,394|394,10,28,28,0,False,False,9,False,1,0,0,0,False,O
2,3,1,1,10,9,2227,368,2237,394,2227,368,2237,394,10,26,26,0,False,False,9,False,1,0,1,0,True,O
3,0,ALLGAIER,8,0,99999999,167,556,309,578,167|167|167|167|167|167|167|167,556|556|556|556|556|556|556|556,309|309|309|309|309|309|309|309,578|578|578|578|578|578|578|578,0,22,22,0,True,False,9,False,1,0,0,0,False,B-DN_VendorAddress
3,1,FRANCE,6,9,999999,319,556,437,576,319|319|319|319|319|319,556|556|556|556|556|556,437|437|437|437|437|437,576|576|576|576|576|576,10,20,20,0,True,False,9,False,1,0,0,0,False,I-DN_VendorAddress
3,2,PO,2,16,99,472,555,511,578,472|472,555|555,511|511,578|578,35,23,23,0,True,False,9,False,1,0,0,1,False,I-DN_VendorAddress
3,3,box,3,19,999,522,555,566,578,522|522|522,555|555|555,566|566|566,578|578|578,11,23,23,0,False,False,9,False,1,0,0,1,False,I-DN_VendorAddress
3,4,51,2,23,99,576,555,604,577,576|576,555|555,604|604,577|577,10,22,22,0,False,False,9,False,1,0,2,1,True,I-DN_VendorAddress
3,5,57380,5,26,99999,642,555,721,577,642|642|642|642|642,555|555|555|555|555,721|721|721|721|721,577|577|577|577|577,38,22,22,0,False,False,9,False,1,0,5,2,True,I-DN_VendorAddress
3,6,Faulquemont,11,32,77777777777,732,554,900,581,732|732|732|732|732|732|732|732|732|732|732,554|554|554|554|554|554|554|554|554|554|554,900|900|900|900|900|900|900|900|900|900|900,581|581|581|581|581|581|581|581|581|581|581,11,27,27,0,False,False,7,False,1,0,0,2,False,I-DN_VendorAddress
3,7,ALLGAIER,8,44,99999999,1559,553,1721,577,1559|1559|1559|1559|1559|1559|1559|1559,553|553|553|553|553|553|553|553,1721|1721|1721|1721|1721|1721|1721|1721,577|577|577|577|577|577|577|577,659,24,24,0,True,False,9,False,1,0,0,3,False,B-DN_VendorAddressRecipient
3,8,FRANCE,6,53,999999,1731,550,1868,578,1731|1731|1731|1731|1731|1731,550|550|550|550|550|550,1868|1868|1868|1868|1868|1868,578|578|578|578|578|578,10,28,28,0,True,False,9,False,1,0,0,3,False,I-DN_VendorAddressRecipient
4,0,Rue,3,0,999,1561,608,1618,632,1561|1561|1561,608|608|608,1618|1618|1618,632|632|632,0,24,24,0,False,False,9,False,1,0,0,0,False,I-DN_VendorAddressRecipient
4,1,Dr,2,4,99,1631,607,1664,632,1631|1631,607|607,1664|1664,632|632,13,25,25,0,False,False,9,False,1,0,0,0,False,I-DN_VendorAddressRecipient
