,LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
0,1,0,SHREE,5,0,99999,676,129,962,193,676|676|676|676|676,129|129|129|129|129,962|962|962|962|962,193|193|193|193|193,0,64,64,0,True,False,9,False,1,0,0,0,False,B-Invoice_VendorAddressRecipient
1,1,1,BALAJI,6,6,999999,986,130,1291,194,986|986|986|986|986|986,130|130|130|130|130|130,1291|1291|1291|1291|1291|1291,194|194|194|194|194|194,24,64,64,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
2,1,2,TRANSPORT,9,13,999999999,1311,130,1826,194,1311|1311|1311|1311|1311|1311|1311|1311|1311,130|130|130|130|130|130|130|130|130,1826|1826|1826|1826|1826|1826|1826|1826|1826,194|194|194|194|194|194|194|194|194,20,64,64,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
3,2,0,FLEET,5,0,99999,893,222,988,251,893|893|893|893|893,222|222|222|222|222,988|988|988|988|988,251|251|251|251|251,0,29,29,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
4,2,1,OWNERS,6,6,999999,996,223,1138,251,996|996|996|996|996|996,223|223|223|223|223|223,1138|1138|1138|1138|1138|1138,251|251|251|251|251|251,8,28,28,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
5,2,2,&,1,13,9,1147,224,1171,251,1147,224,1171,251,9,27,27,0,False,True,9,True,1,0,0,0,False,I-Invoice_VendorAddressRecipient
6,2,3,TRANSPORT,9,15,999999999,1179,223,1365,251,1179|1179|1179|1179|1179|1179|1179|1179|1179,223|223|223|223|223|223|223|223|223,1365|1365|1365|1365|1365|1365|1365|1365|1365,251|251|251|251|251|251|251|251|251,8,28,28,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
7,2,4,CONTRACTORS,11,25,99999999999,1376,221,1614,251,1376|1376|1376|1376|1376|1376|1376|1376|1376|1376|1376,221|221|221|221|221|221|221|221|221|221|221,1614|1614|1614|1614|1614|1614|1614|1614|1614|1614|1614,251|251|251|251|251|251|251|251|251|251|251,11,30,30,0,True,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
8,3,0,C,1,0,5,570,275,640,313,570,275,640,313,0,38,38,0,True,False,5,False,1,0,0,0,False,B-Invoice_VendorAddress
9,3,1,/,1,1,5,570,275,640,313,570,275,640,313,-70,38,38,0,False,True,5,True,1,0,0,0,False,I-Invoice_VendorAddress
10,3,2,c.,2,2,55,570,275,640,313,570|570,275|275,640|640,313|313,-70,38,38,0,False,True,5,False,1,0,0,0,False,I-Invoice_VendorAddress
11,3,3,Mahendrabhai's,14,5,88888888888888,667,277,938,309,667|667|667|667|667|667|667|667|667|667|667|667|667|667,277|277|277|277|277|277|277|277|277|277|277|277|277|277,938|938|938|938|938|938|938|938|938|938|938|938|938|938,309|309|309|309|309|309|309|309|309|309|309|309|309|309,27,32,32,0,False,True,8,False,1,0,0,1,False,I-Invoice_VendorAddress
12,3,4,"Shop,Nea",8,20,99999999,953,277,1108,316,953|953|953|953|953|953|953|953,277|277|277|277|277|277|277|277,1108|1108|1108|1108|1108|1108|1108|1108,316|316|316|316|316|316|316|316,15,39,39,0,False,True,9,False,1,0,0,1,False,I-Invoice_VendorAddress
13,3,5,Jalaram,7,29,9999999,1143,280,1277,311,1143|1143|1143|1143|1143|1143|1143,280|280|280|280|280|280|280,1277|1277|1277|1277|1277|1277|1277,311|311|311|311|311|311|311,35,31,31,0,False,False,9,False,1,0,0,2,False,I-Invoice_VendorAddress
