LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
1,0,TOLEDO,6,0,999999,161,86,334,127,161|161|161|161|161|161,86|86|86|86|86|86,334|334|334|334|334|334,127|127|127|127|127|127,0,41,41,0,True,False,9,False,1,0,0,0,False,B-PL_VendorAddressRecipient
1,1,MOLDING,7,7,9999999,361,91,570,132,361|361|361|361|361|361|361,91|91|91|91|91|91|91,570|570|570|570|570|570|570,132|132|132|132|132|132|132,27,41,41,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddressRecipient
1,2,&,1,15,9,600,97,630,133,600,97,630,133,30,36,36,0,False,True,9,True,1,0,0,0,False,I-PL_VendorAddressRecipient
1,3,"DIE,",4,17,9999,657,96,768,140,657|657|657|657,96|96|96|96,768|768|768|768,140|140|140|140,27,44,44,0,False,True,9,False,1,0,0,0,False,I-PL_VendorAddressRecipient
1,4,LLC.,4,22,9999,805,98,915,136,805|805|805|805,98|98|98|98,915|915|915|915,136|136|136|136,37,38,38,0,False,True,9,False,1,0,0,0,False,I-PL_VendorAddressRecipient
1,5,SHIPPER,7,27,9999999,1316,78,1640,145,1316|1316|1316|1316|1316|1316|1316,78|78|78|78|78|78|78,1640|1640|1640|1640|1640|1640|1640,145|145|145|145|145|145|145,401,67,67,0,True,False,9,False,1,0,0,1,False,B-PL_DocType
1,6,/,1,34,9,1316,78,1640,145,1316,78,1640,145,-324,67,67,0,False,True,9,True,1,0,0,1,False,I-PL_DocType
2,0,515,3,0,888,163,148,252,189,163|163|163,148|148|148,252|252|252,189|189|189,0,41,41,0,False,False,8,False,1,0,3,0,True,B-PL_VendorAddress
2,1,E,1,4,9,275,155,304,191,275,155,304,191,23,36,36,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddress
2,2,GYPSY,5,6,99999,332,156,481,193,332|332|332|332|332,156|156|156|156|156,481|481|481|481|481,193|193|193|193|193,28,37,37,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddress
2,3,LANE,4,12,9999,509,159,630,197,509|509|509|509,159|159|159|159,630|630|630|630,197|197|197|197,28,38,38,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddress
2,4,PKG,3,17,999,1315,161,1438,210,1315|1315|1315,161|161|161,1438|1438|1438,210|210|210,685,49,49,0,True,False,9,False,1,0,0,1,False,I-PL_DocType
2,5,LIST,4,21,9999,1479,162,1642,211,1479|1479|1479|1479,162|162|162|162,1642|1642|1642|1642,211|211|211|211,41,49,49,0,True,False,9,False,1,0,0,1,False,I-PL_DocType
3,0,COUNTRY,7,0,9999999,162,215,361,257,162|162|162|162|162|162|162,215|215|215|215|215|215|215,361|361|361|361|361|361|361,257|257|257|257|257|257|257,0,42,42,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddress
3,1,OF,2,8,99,392,221,450,257,392|392,221|221,450|450,257|257,31,36,36,0,True,False,9,False,1,0,0,1,False,I-PL_VendorAddress
3,2,ORIGIN,6,11,999999,481,223,679,263,481|481|481|481|481|481,223|223|223|223|223|223,679|679|679|679|679|679,263|263|263|263|263|263,31,40,40,0,True,False,9,False,1,0,0,2,False,I-PL_VendorAddress
3,3,:,1,17,9,481,223,679,263,481,223,679,263,-198,40,40,0,False,True,9,True,1,0,0,3,False,I-PL_VendorAddress
3,4,USA,3,19,999,746,229,836,265,746|746|746,229|229|229,836|836|836,265|265|265,67,36,36,0,True,False,9,False,1,0,0,4,False,I-PL_VendorAddress
4,0,BOWLING,7,0,9999999,160,281,362,323,160|160|160|160|160|160|160,281|281|281|281|281|281|281,362|362|362|362|362|362|362,323|323|323|323|323|323|323,0,42,42,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddress
