LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
1,0,PRISM,5,0,99999,1076,12,1179,43,1076|1076|1076|1076|1076,12|12|12|12|12,1179|1179|1179|1179|1179,43|43|43|43|43,0,31,31,0,True,False,9,False,1,0,0,0,False,O
1,1,Axiom,5,6,55555,1188,13,1294,49,1188|1188|1188|1188|1188,13|13|13|13|13,1294|1294|1294|1294|1294,49|49|49|49|49,9,36,36,0,False,False,5,False,1,0,0,0,False,O
1,2,Plastics,8,12,99999999,1301,13,1412,46,1301|1301|1301|1301|1301|1301|1301|1301,13|13|13|13|13|13|13|13,1412|1412|1412|1412|1412|1412|1412|1412,46|46|46|46|46|46|46|46,7,33,33,0,False,False,9,False,1,0,0,0,False,O
1,3,-,1,21,9,1419,28,1432,38,1419,28,1432,38,7,10,10,0,False,True,9,True,1,0,0,0,False,O
1,4,Shipping,8,23,99999999,1439,16,1566,54,1439|1439|1439|1439|1439|1439|1439|1439,16|16|16|16|16|16|16|16,1566|1566|1566|1566|1566|1566|1566|1566,54|54|54|54|54|54|54|54,7,38,38,0,False,False,9,False,1,0,0,0,False,O
1,5,Documents,9,32,999999999,1574,18,1737,50,1574|1574|1574|1574|1574|1574|1574|1574|1574,18|18|18|18|18|18|18|18|18,1737|1737|1737|1737|1737|1737|1737|1737|1737,50|50|50|50|50|50|50|50|50,8,32,32,0,False,False,9,False,1,0,0,0,False,O
2,0,115,3,0,999,768,163,824,192,768|768|768,163|163|163,824|824|824,192|192|192,0,29,29,0,False,False,9,False,1,0,3,0,True,B-PS_VendorAddress
2,1,Mary,4,4,9999,835,163,911,198,835|835|835|835,163|163|163|163,911|911|911|911,198|198|198|198,11,35,35,0,False,False,9,False,1,0,0,0,False,I-PS_VendorAddress
2,2,"Street,",7,9,9999999,920,163,1024,197,920|920|920|920|920|920|920,163|163|163|163|163|163|163,1024|1024|1024|1024|1024|1024|1024,197|197|197|197|197|197|197,9,34,34,0,False,True,9,False,1,0,0,0,False,I-PS_VendorAddress
2,3,"Aurora,",7,17,9999999,1032,163,1146,197,1032|1032|1032|1032|1032|1032|1032,163|163|163|163|163|163|163,1146|1146|1146|1146|1146|1146|1146,197|197|197|197|197|197|197,8,34,34,0,False,True,9,False,1,0,0,0,False,I-PS_VendorAddress
2,4,PACKING,7,25,9999999,1878,165,2137,215,1878|1878|1878|1878|1878|1878|1878,165|165|165|165|165|165|165,2137|2137|2137|2137|2137|2137|2137,215|215|215|215|215|215|215,732,50,50,0,True,False,9,False,1,0,0,1,False,B-PS_DocType
2,5,SLIP,4,33,9999,2159,162,2288,214,2159|2159|2159|2159,162|162|162|162,2288|2288|2288|2288,214|214|214|214,22,52,52,0,True,False,9,False,1,0,0,1,False,I-PS_DocType
3,0,"Ontario,",8,0,99999999,767,202,889,235,767|767|767|767|767|767|767|767,202|202|202|202|202|202|202|202,889|889|889|889|889|889|889|889,235|235|235|235|235|235|235|235,0,33,33,0,False,True,9,False,1,0,0,0,False,I-PS_VendorAddress
3,1,"Canada,",7,9,9999999,899,202,1024,235,899|899|899|899|899|899|899,202|202|202|202|202|202|202,1024|1024|1024|1024|1024|1024|1024,235|235|235|235|235|235|235,10,33,33,0,False,True,9,False,1,0,0,0,False,I-PS_VendorAddress
3,2,L4G,3,17,999,1035,202,1095,232,1035|1035|1035,202|202|202,1095|1095|1095,232|232|232,11,30,30,0,False,False,9,False,1,0,1,0,False,I-PS_VendorAddress
3,3,1G3,3,21,999,1107,203,1168,233,1107|1107|1107,203|203|203,1168|1168|1168,233|233|233,12,30,30,0,False,False,9,False,1,0,2,0,False,I-PS_VendorAddress
4,0,IOM,3,0,999,412,211,686,305,412|412|412,211|211|211,686|686|686,305|305|305,0,94,94,0,True,False,9,False,1,0,0,0,False,O
4,1,Phone,5,4,99999,765,248,870,278,765|765|765|765|765,248|248|248|248|248,870|870|870|870|870,278|278|278|278|278,79,30,30,0,False,False,9,False,1,0,0,1,False,O
4,2,:,1,9,9,765,248,870,278,765,248,870,278,-105,30,30,0,False,True,9,True,1,0,0,2,False,O
4,3,905-727-2878,12,11,999999999999,882,249,1103,279,882|882|882|882|882|882|882|882|882|882|882|882,249|249|249|249|249|249|249|249|249|249|249|249,1103|1103|1103|1103|1103|1103|1103|1103|1103|1103|1103|1103,279|279|279|279|279|279|279|279|279|279|279|279,12,30,30,0,False,True,9,False,1,0,10,3,False,O
4,4,Pack,4,24,4444,1567,242,1730,287,1567|1567|1567|1567,242|242|242|242,1730|1730|1730|1730,287|287|287|287,464,45,45,0,False,False,4,False,1,0,0,4,False,O
4,5,Slip,4,29,4444,1567,242,1730,287,1567|1567|1567|1567,242|242|242|242,1730|1730|1730|1730,287|287|287|287,-163,45,45,0,False,False,4,False,1,0,0,4,False,O
4,6,No,2,34,99,1742,246,1799,283,1742|1742,246|246,1799|1799,283|283,12,37,37,0,False,False,9,False,1,0,0,4,False,O
4,7,Shipment,8,37,99999999,1929,246,2108,288,1929|1929|1929|1929|1929|1929|1929|1929,246|246|246|246|246|246|246|246,2108|2108|2108|2108|2108|2108|2108|2108,288|288|288|288|288|288|288|288,130,42,42,0,False,False,9,False,1,0,0,5,False,O
4,8,Date,4,46,8888,2118,248,2205,281,2118|2118|2118|2118,248|248|248|248,2205|2205|2205|2205,281|281|281|281,10,33,33,0,False,False,8,False,1,0,0,5,False,O
5,0,Axlom,5,0,99999,268,317,384,351,268|268|268|268|268,317|317|317|317|317,384|384|384|384|384,351|351|351|351|351,0,34,34,0,False,False,9,False,1,0,0,0,False,B-PS_VendorAddressRecipient
5,1,Plastics,8,6,99999999,398,318,533,354,398|398|398|398|398|398|398|398,318|318|318|318|318|318|318|318,533|533|533|533|533|533|533|533,354|354|354|354|354|354|354|354,14,36,36,0,False,False,9,False,1,0,0,0,False,I-PS_VendorAddressRecipient
5,2,Inc,3,15,999,544,319,603,355,544|544|544,319|319|319,603|603|603,355|355|355,11,36,36,0,False,False,9,False,1,0,0,0,False,I-PS_VendorAddressRecipient
5,3,Email,5,19,99999,765,288,861,317,765|765|765|765|765,288|288|288|288|288,861|861|861|861|861,317|317|317|317|317,162,29,29,0,False,False,9,False,1,0,0,1,False,O
5,4,:,1,24,9,765,288,861,317,765,288,861,317,-96,29,29,0,False,True,9,True,1,0,0,2,False,O
5,5,Info@axiomgroup.ca,18,26,888888888888888888,873,287,1186,324,873|873|873|873|873|873|873|873|873|873|873|873|873|873|873|873|873|873,287|287|287|287|287|287|287|287|287|287|287|287|287|287|287|287|287|287,1186|1186|1186|1186|1186|1186|1186|1186|1186|1186|1186|1186|1186|1186|1186|1186|1186|1186,324|324|324|324|324|324|324|324|324|324|324|324|324|324|324|324|324|324,12,37,37,0,False,True,8,False,1,0,0,3,False,O
5,6,00823668,8,45,99999999,1594,306,1772,340,1594|1594|1594|1594|1594|1594|1594|1594,306|306|306|306|306|306|306|306,1772|1772|1772|1772|1772|1772|1772|1772,340|340|340|340|340|340|340|340,408,34,34,0,False,False,9,False,1,0,8,4,True,B-PS_PsNo
5,7,2023-01-03,10,54,9999999999,1962,307,2173,340,1962|1962|1962|1962|1962|1962|1962|1962|1962|1962,307|307|307|307|307|307|307|307|307|307,2173|2173|2173|2173|2173|2173|2173|2173|2173|2173,340|340|340|340|340|340|340|340|340|340,190,33,33,0,False,True,9,False,1,0,8,5,False,B-PS_ShipDate
6,0,HST,3,0,999,765,350,829,379,765|765|765,350|350|350,829|829|829,379|379|379,0,29,29,0,True,False,9,False,1,0,0,0,False,O
