LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
1,0,MARTINREA,9,0,999999999,257,39,480,76,257|257|257|257|257|257|257|257|257,39|39|39|39|39|39|39|39|39,480|480|480|480|480|480|480|480|480,76|76|76|76|76|76|76|76|76,0,37,37,0,True,False,9,False,1,0,0,0,False,B-PL_VendorAddressRecipient
1,1,TILLSONBURG,11,10,99999999999,486,40,741,77,486|486|486|486|486|486|486|486|486|486|486,40|40|40|40|40|40|40|40|40|40|40,741|741|741|741|741|741|741|741|741|741|741,77|77|77|77|77|77|77|77|77|77|77,6,37,37,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddressRecipient
2,0,SHIPPER,7,0,6666666,1291,80,1582,120,1291|1291|1291|1291|1291|1291|1291,80|80|80|80|80|80|80,1582|1582|1582|1582|1582|1582|1582,120|120|120|120|120|120|120,0,40,40,0,True,False,6,False,1,0,0,0,False,B-PL_DocType
2,1,/,1,7,6,1291,80,1582,120,1291,80,1582,120,-291,40,40,0,False,True,6,True,1,0,0,0,False,I-PL_DocType
2,2,"PKG,",4,8,6666,1291,80,1582,120,1291|1291|1291|1291,80|80|80|80,1582|1582|1582|1582,120|120|120|120,-291,40,40,0,False,True,6,False,1,0,0,0,False,I-PL_DocType
2,3,LIST,4,13,9999,1592,82,1682,122,1592|1592|1592|1592,82|82|82|82,1682|1682|1682|1682,122|122|122|122,10,40,40,0,True,False,9,False,1,0,0,0,False,I-PL_DocType
3,0,MARTINREA,9,0,555555555,26,148,223,179,26|26|26|26|26|26|26|26|26,148|148|148|148|148|148|148|148|148,223|223|223|223|223|223|223|223|223,179|179|179|179|179|179|179|179|179,0,31,31,0,True,False,5,False,1,0,0,0,False,O
3,1,301,3,10,999,262,121,314,151,262|262|262,121|121|121,314|314|314,151|151|151,39,30,30,0,False,False,9,False,1,0,3,1,True,B-PL_VendorAddress
3,2,Tillson,7,14,9999999,322,121,421,152,322|322|322|322|322|322|322,121|121|121|121|121|121|121,421|421|421|421|421|421|421,152|152|152|152|152|152|152,8,31,31,0,False,False,9,False,1,0,0,1,False,I-PL_VendorAddress
3,3,"Avenue,",7,22,9999999,427,121,547,156,427|427|427|427|427|427|427,121|121|121|121|121|121|121,547|547|547|547|547|547|547,156|156|156|156|156|156|156,6,35,35,0,False,True,9,False,1,0,0,1,False,I-PL_VendorAddress
3,4,Building,8,30,99999999,562,120,684,157,562|562|562|562|562|562|562|562,120|120|120|120|120|120|120|120,684|684|684|684|684|684|684|684,157|157|157|157|157|157|157|157,15,37,37,0,False,False,9,False,1,0,0,1,False,I-PL_VendorAddress
3,5,"12,",3,39,999,692,120,735,155,692|692|692,120|120|120,735|735|735,155|155|155,8,35,35,0,False,True,9,False,1,0,2,1,True,I-PL_VendorAddress
3,6,SID,3,43,999,1294,147,1334,170,1294|1294|1294,147|147|147,1334|1334|1334,170|170|170,559,23,23,0,True,False,9,False,1,0,0,2,False,O
3,7,NUMBER,6,47,999999,1339,147,1443,172,1339|1339|1339|1339|1339|1339,147|147|147|147|147|147,1443|1443|1443|1443|1443|1443,172|172|172|172|172|172,5,25,25,0,True,False,9,False,1,0,0,2,False,O
3,8,DATE,4,54,9999,1570,149,1635,173,1570|1570|1570|1570,149|149|149|149,1635|1635|1635|1635,173|173|173|173,127,24,24,0,True,False,9,False,1,0,0,3,False,O
4,0,"Tillsonburg,",12,0,999999999999,264,160,440,195,264|264|264|264|264|264|264|264|264|264|264|264,160|160|160|160|160|160|160|160|160|160|160|160,440|440|440|440|440|440|440|440|440|440|440|440,195|195|195|195|195|195|195|195|195|195|195|195,0,35,35,0,False,True,9,False,1,0,0,0,False,I-PL_VendorAddress
4,1,"Ontario,",8,13,99999999,447,160,564,194,447|447|447|447|447|447|447|447,160|160|160|160|160|160|160|160,564|564|564|564|564|564|564|564,194|194|194|194|194|194|194|194,7,34,34,0,False,True,9,False,1,0,0,0,False,I-PL_VendorAddress
4,2,N4G,3,22,999,570,160,633,190,570|570|570,160|160|160,633|633|633,190|190|190,6,30,30,0,False,False,9,False,1,0,1,0,False,I-PL_VendorAddress
4,3,5E5,3,26,777,640,160,696,189,640|640|640,160|160|160,696|696|696,189|189|189,7,29,29,0,False,False,7,False,1,0,2,0,True,I-PL_VendorAddress
5,0,TEL,3,0,999,267,198,337,228,267|267|267,198|198|198,337|337|337,228|228|228,0,30,30,0,True,False,9,False,1,0,0,0,False,O
5,1,:,1,3,9,267,198,337,228,267,198,337,228,-70,30,30,0,False,True,9,True,1,0,0,1,False,O
5,2,(519),5,5,99999,343,197,416,233,343|343|343|343|343,197|197|197|197|197,416|416|416|416|416,233|233|233|233|233,6,36,36,0,False,True,9,False,1,0,3,2,False,O
5,3,688-3693,8,11,99999999,423,198,553,228,423|423|423|423|423|423|423|423,198|198|198|198|198|198|198|198,553|553|553|553|553|553|553|553,228|228|228|228|228|228|228|228,7,30,30,0,False,True,9,False,1,0,7,2,False,O
5,4,54647,5,20,99999,1345,205,1446,236,1345|1345|1345|1345|1345,205|205|205|205|205,1446|1446|1446|1446|1446,236|236|236|236|236,792,31,31,0,False,False,9,False,1,0,5,3,True,B-PL_SidNo
5,5,1/03/23,7,26,9999999,1551,207,1687,244,1551|1551|1551|1551|1551|1551|1551,207|207|207|207|207|207|207,1687|1687|1687|1687|1687|1687|1687,244|244|244|244|244|244|244,105,37,37,0,False,True,9,False,1,0,5,4,False,B-PL_ShipDate
6,0,FAX,3,0,999,272,237,342,265,272|272|272,237|237|237,342|342|342,265|265|265,0,28,28,0,True,False,9,False,1,0,0,0,False,O
6,1,:,1,3,9,272,237,342,265,272,237,342,265,-70,28,28,0,False,True,9,True,1,0,0,1,False,O
6,2,(519),5,5,99999,348,236,421,272,348|348|348|348|348,236|236|236|236|236,421|421|421|421|421,272|272|272|272|272,6,36,36,0,False,True,9,False,1,0,3,2,False,O
6,3,688-1021,8,11,99999999,427,237,555,266,427|427|427|427|427|427|427|427,237|237|237|237|237|237|237|237,555|555|555|555|555|555|555|555,266|266|266|266|266|266|266|266,6,29,29,0,False,True,9,False,1,0,7,2,False,O
6,4,7,1,20,9,1550,251,1717,284,1550,251,1717,284,995,33,33,0,False,False,9,False,1,0,1,3,True,O
6,5,:,1,21,9,1550,251,1717,284,1550,251,1717,284,-167,33,33,0,False,True,9,True,1,0,0,4,False,O
6,6,25,2,22,99,1550,251,1717,284,1550|1550,251|251,1717|1717,284|284,-167,33,33,0,False,False,9,False,1,0,2,5,True,O
6,7,:,1,24,9,1550,251,1717,284,1550,251,1717,284,-167,33,33,0,False,True,9,True,1,0,0,6,False,O
