LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
1,0,AVA,3,0,999,614,127,674,158,614|614|614,127|127|127,674|674|674,158|158|158,0,31,31,0,True,False,9,False,1,0,0,0,False,B-PL_VendorAddressRecipient
1,1,MILAN,5,4,99999,680,122,779,155,680|680|680|680|680,122|122|122|122|122,779|779|779|779|779,155|155|155|155|155,6,33,33,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddressRecipient
1,2,METAL,5,10,99999,786,118,882,153,786|786|786|786|786,118|118|118|118|118,882|882|882|882|882,153|153|153|153|153,7,35,35,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddressRecipient
1,3,SYSTEMS,7,16,9999999,887,115,1029,153,887|887|887|887|887|887|887,115|115|115|115|115|115|115,1029|1029|1029|1029|1029|1029|1029,153|153|153|153|153|153|153,5,38,38,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddressRecipient
1,4,LLC,3,24,999,1033,113,1087,150,1033|1033|1033,113|113|113,1087|1087|1087,150|150|150,4,37,37,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddressRecipient
2,0,555,3,0,999,615,169,668,203,615|615|615,169|169|169,668|668|668,203|203|203,0,34,34,0,False,False,9,False,1,0,3,0,True,B-PL_VendorAddress
2,1,Platt,5,4,99999,674,167,740,199,674|674|674|674|674,167|167|167|167|167,740|740|740|740|740,199|199|199|199|199,6,32,32,0,False,False,9,False,1,0,0,0,False,I-PL_VendorAddress
2,2,Rd,2,10,99,746,164,786,197,746|746,164|164,786|786,197|197,6,33,33,0,False,False,9,False,1,0,0,0,False,I-PL_VendorAddress
2,3,Packing,7,13,9999999,2016,124,2253,203,2016|2016|2016|2016|2016|2016|2016,124|124|124|124|124|124|124,2253|2253|2253|2253|2253|2253|2253,203|203|203|203|203|203|203,1230,79,79,0,False,False,9,False,1,0,0,1,False,B-PL_DocType
2,4,List,4,21,9999,2272,127,2378,188,2272|2272|2272|2272,127|127|127|127,2378|2378|2378|2378,188|188|188|188,19,61,61,0,False,False,9,False,1,0,0,1,False,I-PL_DocType
3,0,AVA,3,0,999,213,180,522,256,213|213|213,180|180|180,522|522|522,256|256|256,0,76,76,0,True,False,9,False,1,0,0,0,False,O
3,1,Milan,5,4,44444,615,213,702,246,615|615|615|615|615,213|213|213|213|213,702|702|702|702|702,246|246|246|246|246,93,33,33,0,False,False,4,False,1,0,0,1,False,I-PL_VendorAddress
3,2,MI,2,10,99,708,209,748,241,708|708,209|209,748|748,241|241,6,32,32,0,True,False,9,False,1,0,0,1,False,I-PL_VendorAddress
3,3,48160,5,13,99999,753,207,842,239,753|753|753|753|753,207|207|207|207|207,842|842|842|842|842,239|239|239|239|239,5,32,32,0,False,False,9,False,1,0,5,1,True,I-PL_VendorAddress
4,0,USA,3,0,999,615,256,680,288,615|615|615,256|256|256,680|680|680,288|288|288,0,32,32,0,True,False,9,False,1,0,0,0,False,I-PL_VendorAddress
5,0,Form,4,0,9999,226,282,317,320,226|226|226|226,282|282|282|282,317|317|317|317,320|320|320|320,0,38,38,0,False,False,9,False,1,0,0,0,False,O
