,LineNo,WordSequence,Word,WordLength,WordStartCharPosition,WordConfLevel,Left_Word_Top_X,Left_Word_Top_Y,Right_Word_Bot_X,Right_Word_Bot_Y,LeftXForLetters,LeftYForLetters,RightXForLetters,RightYForLetters,Distance_From_Left_Word,Word_Height,CharWithMaxHeight,WordWidth,isCapitalLine,isSpecialChar,AvgWordConfidenceLevel,isPunctuationWord,PageNumber,AvgCharWidth,DigitCount,Phrase_Sequence,isNumeric,Label
0,1,0,Connell,7,0,9999999,495,141,616,169,495|495|495|495|495|495|495,141|141|141|141|141|141|141,616|616|616|616|616|616|616,169|169|169|169|169|169|169,0,28,28,0,False,False,9,False,1,0,0,0,False,B-Invoice_VendorAddressRecipient
1,1,1,Bros.,5,8,99999,625,142,708,169,625|625|625|625|625,142|142|142|142|142,708|708|708|708|708,169|169|169|169|169,9,27,27,0,False,True,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
2,1,2,Company,7,14,9999999,717,142,866,176,717|717|717|717|717|717|717,142|142|142|142|142|142|142,866|866|866|866|866|866|866,176|176|176|176|176|176|176,9,34,34,0,False,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
3,1,3,(India),7,22,8888888,874,141,973,177,874|874|874|874|874|874|874,141|141|141|141|141|141|141,973|973|973|973|973|973|973,177|177|177|177|177|177|177,8,36,36,0,False,True,8,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
4,1,4,Private,7,30,9999999,982,142,1091,171,982|982|982|982|982|982|982,142|142|142|142|142|142|142,1091|1091|1091|1091|1091|1091|1091,171|171|171|171|171|171|171,9,29,29,0,False,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
5,1,5,Limited,7,38,9999999,1099,143,1217,171,1099|1099|1099|1099|1099|1099|1099,143|143|143|143|143|143|143,1217|1217|1217|1217|1217|1217|1217,171|171|171|171|171|171|171,8,28,28,0,False,False,9,False,1,0,0,0,False,I-Invoice_VendorAddressRecipient
6,1,6,TAX,3,46,999,1796,153,1878,187,1796|1796|1796,153|153|153,1878|1878|1878,187|187|187,579,34,34,0,True,False,9,False,1,0,0,1,False,O
7,1,7,INVOICE,7,50,9999999,1887,153,2055,187,1887|1887|1887|1887|1887|1887|1887,153|153|153|153|153|153|153,2055|2055|2055|2055|2055|2055|2055,187|187|187|187|187|187|187,9,34,34,0,True,False,9,False,1,0,0,1,False,O
8,1,8,Page,4,58,8888,2450,156,2541,192,2450|2450|2450|2450,156|156|156|156,2541|2541|2541|2541,192|192|192|192,395,36,36,0,False,False,8,False,1,0,0,2,False,O
9,1,9,:,1,62,8,2450,156,2541,192,2450,156,2541,192,-91,36,36,0,False,True,8,True,1,0,0,3,False,O
